"Province_State" "Country_Region" "Confirmed" "Deaths"
"Putumayo" "Colombia" 20491 775
"Quindio" "Colombia" 70801 2054
"Risaralda" "Colombia" 106343 2469
"San Andres y Providencia" "Colombia" 10189 155
"Santander" "Colombia" 283426 8168
"Sucre" "Colombia" 65667 1714
"Tolima" "Colombia" 124447 4006
"Valle del Cauca" "Colombia" 540664 15037
"Vaupes" "Colombia" 1889 21
"Vichada" "Colombia" 3399 61
"Comoros" "Comoros" 8100 160
"Congo (Kinshasa)" "Congo" 86748 1337
"Costa Rica" "Costa Rica" 844892 8357
"Cote d'Ivoire" "Cote d'Ivoire" 81834 797
"Croatia" "Croatia" 1109847 15702
"Cuba" "Cuba" 1097675 8519
"Cyprus" "Cyprus" 461531 987
"Czechia" "Czechia" 3872522 39933
"Faroe Islands" "Denmark" 34658 28
"Greenland" "Denmark" 11971 21
"Denmark" "Denmark" 3089642 5932
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 15595 189
"Dominica" "Dominica" 11981 63
"Dominican Republic" "Dominican Republic" 578626 4375
"Ecuador" "Ecuador" 865263 35508
"Egypt" "Egypt" 511977 24522
"El Salvador" "El Salvador" 162089 4124
"Equatorial Guinea" "Equatorial Guinea" 15904 183
"Eritrea" "Eritrea" 9732 103
"Estonia" "Estonia" 565213 2498
"Eswatini" "Eswatini" 70014 1395
"Ethiopia" "Ethiopia" 470108 7509
"Fiji" "Fiji" 64499 834
"Finland" "Finland" 920692 3334
"French Guiana" "France" 79529 394
"French Polynesia" "France" 72570 648
"Guadeloupe" "France" 142573 940
"Martinique" "France" 148048 918
"Mayotte" "France" 36958 187
"New Caledonia" "France" 60498 312
"Reunion" "France" 347941 720
"Saint Barthelemy" "France" 4313 6
"Saint Pierre and Miquelon" "France" 2509 1
"St Martin" "France" 10176 63
"Wallis and Futuna" "France" 454 7
"France" "France" 26447656 140466
"Gabon" "Gabon" 47588 303
"Gambia" "Gambia" 11990 365
"Georgia" "Georgia" 1651969 16779
"Baden-Wurttemberg" "Germany" 3269042 15455
"Bayern" "Germany" 4351758 23062
"Berlin" "Germany" 955168 4421
"Brandenburg" "Germany" 725150 5480
"Bremen" "Germany" 169613 731
"Hamburg" "Germany" 489172 2464
"Hessen" "Germany" 1575359 9746
"Mecklenburg-Vorpommern" "Germany" 437660 2089
"Niedersachsen" "Germany" 1919410 8387
"Nordrhein-Westfalen" "Germany" 4586994 24161
"Rheinland-Pfalz" "Germany" 982220 5379
"Saarland" "Germany" 276965 1585
"Sachsen" "Germany" 1399143 14990
"Sachsen-Anhalt" "Germany" 649514 5125
"Schleswig-Holstein" "Germany" 572882 2351
"Thuringen" "Germany" 657029 6952
"Ghana" "Ghana" 161071 1445
"Greece" "Greece" 3195887 28274
"Grenada" "Grenada" 14064 219
"Guatemala" "Guatemala" 836234 17400
"Guinea" "Guinea" 36459 440
"Guinea-Bissau" "Guinea-Bissau" 8175 170
"Guyana" "Guyana" 63340 1226
"Haiti" "Haiti" 30586 835
"Holy See" "Holy See" 29 0
"Honduras" "Honduras" 421268 10888
"Hungary" "Hungary" 1874206 45812
"Iceland" "Iceland" 183974 110
"Andaman and Nicobar Islands" "India" 10034 129
"Andhra Pradesh" "India" 2319614 14730
"Arunachal Pradesh" "India" 64490 296
"Assam" "India" 724199 6639
"Bihar" "India" 830494 12256
"Chandigarh" "India" 91945 1165
"Chhattisgarh" "India" 1152208 14034
"Dadra and Nagar Haveli and Daman and Diu" "India" 11441 4
"Delhi" "India" 1866380 26157
"Goa" "India" 245346 3832
"Gujarat" "India" 1224082 10942
"Haryana" "India" 985931 10617
"Himachal Pradesh" "India" 284639 4134
"Jammu and Kashmir" "India" 453889 4750
"Jharkhand" "India" 435165 5315
"Karnataka" "India" 3946036 40057
"Kerala" "India" 6536123 68383
"Ladakh" "India" 28236 228
"Lakshadweep" "India" 11402 52
"Madhya Pradesh" "India" 1041209 10735
"Maharashtra" "India" 7875211 147816
"Manipur" "India" 137162 2120
"Meghalaya" "India" 93784 1593
"Mizoram" "India" 225732 689
"Nagaland" "India" 35480 759
"Odisha" "India" 1287854 9121
"Puducherry" "India" 165774 1962
"Punjab" "India" 759210 17742
"Rajasthan" "India" 1283111 9552
"Sikkim" "India" 39144 452
"Tamil Nadu" "India" 3453112 38025
"Telangana" "India" 791522 4111
"Tripura" "India" 100878 922
"Uttar Pradesh" "India" 2071099 23499
"Uttarakhand" "India" 437297 7692
"West Bengal" "India" 2017695 21200
"Indonesia" "Indonesia" 6035358 155717
"Iran" "Iran" 7197505 140678
"Iraq" "Iraq" 2322303 25186
"Ireland" "Ireland" 1494814 6903
"Israel" "Israel" 4013193 10601
"Abruzzo" "Italy" 337992 3139
"Basilicata" "Italy" 115294 851
"Calabria" "Italy" 323743 2405
"Campania" "Italy" 1482619 10126
"Emilia-Romagna" "Italy" 1332550 16398
"Friuli Venezia Giulia" "Italy" 346554 4951
"Lazio" "Italy" 1373519 10887
"Liguria" "Italy" 401981 5225
"Lombardia" "Italy" 2632174 39500
"Marche" "Italy" 413971 3770
"Molise" "Italy" 53128 601
"P.A. Bolzano" "Italy" 203853 1456
"P.A. Trento" "Italy" 154270 1545
"Piemonte" "Italy" 1085953 13250
"Puglia" "Italy" 983378 8100
"Sardegna" "Italy" 249942 2280
"Sicilia" "Italy" 1032721 10282
"Toscana" "Italy" 1033846 9640
"Umbria" "Italy" 248698 1825
"Valle d'Aosta" "Italy" 33505 527
"Veneto" "Italy" 1565118 14274
"Jamaica" "Jamaica" 129093 2917
"Aichi" "Japan" 444672 1992
"Akita" "Japan" 19808 49
"Aomori" "Japan" 41859 91
"Chiba" "Japan" 388626 1687
"Ehime" "Japan" 28301 133
"Fukui" "Japan" 23597 45
"Fukuoka" "Japan" 329876 1160
"Fukushima" "Japan" 42434 200
"Gifu" "Japan" 74625 320
"Gunma" "Japan" 76088 298
"Hiroshima" "Japan" 109265 454
"Hokkaido" "Japan" 246854 1954
"Hyogo" "Japan" 355634 2143
"Ibaraki" "Japan" 128544 396
"Ishikawa" "Japan" 37835 186
"Iwate" "Japan" 21787 80
"Kagawa" "Japan" 33242 114
"Kagoshima" "Japan" 51821 171
"Kanagawa" "Japan" 647762 2080
"Kochi" "Japan" 18733 101
"Kumamoto" "Japan" 71657 276
"Kyoto" "Japan" 165774 685
"Mie" "Japan" 62478 275
"Miyagi" "Japan" 64795 178
"Miyazaki" "Japan" 31363 120
"Nagano" "Japan" 51369 169
"Nagasaki" "Japan" 38398 117
"Nara" "Japan" 77821 354
"Niigata" "Japan" 50743 91
"Oita" "Japan" 37179 146
"Okayama" "Japan" 69228 226
"Okinawa" "Japan" 136279 441
"Osaka" "Japan" 839318 4826
"Port Quarantine" "Japan" 4463 4
"Saga" "Japan" 36652 92
"Saitama" "Japan" 468970 1414
"Shiga" "Japan" 74164 200
"Shimane" "Japan" 10944 11
"Shizuoka" "Japan" 133223 388
"Tochigi" "Japan" 70034 256
"Tokushima" "Japan" 17288 79
"Tokyo" "Japan" 1338408 4239
"Tottori" "Japan" 10292 14
"Toyama" "Japan" 29877 88
"Wakayama" "Japan" 31467 111
"Yamagata" "Japan" 19668 81
"Yamaguchi" "Japan" 32864 170
"Yamanashi" "Japan" 26086 64
"Jordan" "Jordan" 1694957 14055
"Kazakhstan" "Kazakhstan" 1394093 19013
"Kenya" "Kenya" 323583 5649
"Kiribati" "Kiribati" 3069 13
"Korea, South" "South Korea" 15830644 20034
"Kosovo" "Kosovo" 227766 3138
"Kuwait" "Kuwait" 630641 2555
"Kyrgyzstan" "Kyrgyzstan" 200970 2991
"Laos" "Laos" 197417 702
"Latvia" "Latvia" 809917 5687
"Lebanon" "Lebanon" 1094911 10350
"Lesotho" "Lesotho" 32968 697
"Liberia" "Liberia" 7402 294
"Libya" "Libya" 501834 6429
"Liechtenstein" "Liechtenstein" 16834 84
"Lithuania" "Lithuania" 1043492 8982
"Luxembourg" "Luxembourg" 226339 1051
"MS Zaandam" "MS Zaandam" 9 2
"Madagascar" "Madagascar" 64089 1390
"Malawi" "Malawi" 85707 2628
"Johor" "Malaysia" 378723 4480
"Kedah" "Malaysia" 296274 2598
"Kelantan" "Malaysia" 246600 1418
"Melaka" "Malaysia" 119349 1103
"Negeri Sembilan" "Malaysia" 196041 1467
"Pahang" "Malaysia" 169305 961
"Perak" "Malaysia" 195656 1884
"Perlis" "Malaysia" 17088 181
"Pulau Pinang" "Malaysia" 273381 1964
"Sabah" "Malaysia" 369399 3115
"Sarawak" "Malaysia" 302880 1720
"Selangor" "Malaysia" 1275660 10588
"Terengganu" "Malaysia" 124161 856
"W.P. Kuala Lumpur" "Malaysia" 338306 2811
"W.P. Labuan" "Malaysia" 21193 155
"W.P. Putrajaya" "Malaysia" 18543 40
"Maldives" "Maldives" 178320 298
"Mali" "Mali" 30589 729
"Malta" "Malta" 87033 667
"Marshall Islands" "Marshall Islands" 7 0
"Mauritania" "Mauritania" 58679 982
"Mauritius" "Mauritius" 214860 985
"Aguascalientes" "Mexico" 65405 3496
"Baja California" "Mexico" 133756 12224
"Baja California Sur" "Mexico" 103490 2682
"Campeche" "Mexico" 34008 2240
"Chiapas" "Mexico" 38344 2409
"Chihuahua" "Mexico" 131223 9946
"Ciudad de Mexico" "Mexico" 1392296 42722
"Coahuila" "Mexico" 145410 8777
"Colima" "Mexico" 54629 2194
"Durango" "Mexico" 68161 3599
"Guanajuato" "Mexico" 281869 14873
"Guerrero" "Mexico" 98351 6754
"Hidalgo" "Mexico" 93101 8396
"Jalisco" "Mexico" 244928 19561
"Mexico" "Mexico" 570755 47159
"Michoacan" "Mexico" 94023 8820
"Morelos" "Mexico" 69983 5267
"Nayarit" "Mexico" 58071 3195
"Nuevo Leon" "Mexico" 319108 14979
"Oaxaca" "Mexico" 119483 6150
"Puebla" "Mexico" 169256 16439
"Queretaro" "Mexico" 141609 6195
"Quintana Roo" "Mexico" 91655 4381
"San Luis Potosi" "Mexico" 185739 7471
"Sinaloa" "Mexico" 121689 9656
"Sonora" "Mexico" 165387 10096
"Tabasco" "Mexico" 189698 6040
"Tamaulipas" "Mexico" 143963 7978
"Tlaxcala" "Mexico" 43745 3073
"Veracruz" "Mexico" 178209 16388
"Yucatan" "Mexico" 108815 6798
"Zacatecas" "Mexico" 67703 3847
"Micronesia" "Micronesia" 1 0
"Moldova" "Moldova" 515649 11471
"Monaco" "Monaco" 11261 56
"Mongolia" "Mongolia" 920004 2177
"Montenegro" "Montenegro" 233834 2708
"Morocco" "Morocco" 1164135 16061
"Mozambique" "Mozambique" 225301 2200
"Namibia" "Namibia" 157903 4021
"Nepal" "Nepal" 978616 11951
"Aruba" "Netherlands" 34189 212
"Bonaire, Sint Eustatius and Saba" "Netherlands" 9341 34
"Curacao" "Netherlands" 41153 270
"Drenthe" "Netherlands" 200478 447
"Flevoland" "Netherlands" 181850 331
"Friesland" "Netherlands" 275593 614
"Gelderland" "Netherlands" 976708 2779
"Groningen" "Netherlands" 245885 349
"Limburg" "Netherlands" 525607 2152
"Noord-Brabant" "Netherlands" 1228201 3683
"Noord-Holland" "Netherlands" 1307276 3339
"Overijssel" "Netherlands" 560914 1404
"Sint Maarten" "Netherlands" 9888 86
"Utrecht" "Netherlands" 657127 1527
"Zeeland" "Netherlands" 166645 385
"Zuid-Holland" "Netherlands" 1675513 5106
"Cook Islands" "New Zealand" 3584 0
"New Zealand" "New Zealand" 795606 497
"Nicaragua" "Nicaragua" 18491 231
"Niger" "Niger" 8846 308
"Nigeria" "Nigeria" 255663 3142
"North Macedonia" "North Macedonia" 307967 9256
"Norway" "Norway" 1417631 2667
"Oman" "Oman" 388741 4256
"Azad Jammu and Kashmir" "Pakistan" 43301 792
"Balochistan" "Pakistan" 35480 378
"Gilgit-Baltistan" "Pakistan" 11720 191
"Islamabad" "Pakistan" 135139 1023
"Khyber Pakhtunkhwa" "Pakistan" 219296 6322
"Punjab" "Pakistan" 505486 13559
"Sindh" "Pakistan" 576407 8097
"Palau" "Palau" 4122 6
"Panama" "Panama" 767067 8177
"Papua New Guinea" "Papua New Guinea" 43615 649
"Paraguay" "Paraguay" 648446 18734
"Amazonas" "Peru" 44075 1333
"Ancash" "Peru" 126995 7124
"Apurimac" "Peru" 38994 1630
"Arequipa" "Peru" 212889 10287
"Ayacucho" "Peru" 48133 2321
"Cajamarca" "Peru" 95865 4456
"Callao" "Peru" 146489 10484
"Cusco" "Peru" 116820 5157
"Huancavelica" "Peru" 25775 1269
"Huanuco" "Peru" 52090 2887
"Ica" "Peru" 103657 8925
"Junin" "Peru" 126055 7463
"La Libertad" "Peru" 146571 10931
"Lambayeque" "Peru" 105508 9229
"Lima" "Peru" 1607124 92992
"Loreto" "Peru" 57901 4381
"Madre de Dios" "Peru" 17817 847
"Moquegua" "Peru" 48356 1619
"Pasco" "Peru" 23919 1101
"Piura" "Peru" 158293 13079
"Puno" "Peru" 65788 4751
"San Martin" "Peru" 61822 3159
"Tacna" "Peru" 53711 2125
"Tumbes" "Peru" 27421 1690
"Ucayali" "Peru" 39472 3246
"Philippines" "Philippines" 3681851 59778
"Poland" "Poland" 5980220 115696
"Portugal" "Portugal" 3697653 21958
"Qatar" "Qatar" 363031 677
"Romania" "Romania" 2875942 65249
"Adygea Republic" "Russia" 48733 987
"Altai Krai" "Russia" 264092 8532
"Altai Republic" "Russia" 33948 603
"Amur Oblast" "Russia" 105537 754
"Arkhangelsk Oblast" "Russia" 226691 1676
"Astrakhan Oblast" "Russia" 115414 2974
"Bashkortostan Republic" "Russia" 281785 5567
"Belgorod Oblast" "Russia" 128149 2193
"Bryansk Oblast" "Russia" 159808 3880
"Buryatia Republic" "Russia" 135188 2985
"Chechen Republic" "Russia" 43192 1076
"Chelyabinsk Oblast" "Russia" 322257 7508
"Chukotka Autonomous Okrug" "Russia" 5557 42
"Chuvashia Republic" "Russia" 77698 4572
"Dagestan Republic" "Russia" 92550 3587
"Ingushetia Republic" "Russia" 40570 549
"Irkutsk Oblast" "Russia" 289503 8331
"Ivanovo Oblast" "Russia" 108988 3052
"Jewish Autonomous Okrug" "Russia" 18274 531
"Kabardino-Balkarian Republic" "Russia" 61142 1847
"Kaliningrad Oblast" "Russia" 166748 1829
"Kalmykia Republic" "Russia" 50618 835
"Kaluga Oblast" "Russia" 102096 1434
"Kamchatka Krai" "Russia" 39306 609
"Karachay-Cherkess Republic" "Russia" 45519 979
"Karelia Republic" "Russia" 132525 1481
"Kemerovo Oblast" "Russia" 159393 2271
"Khabarovsk Krai" "Russia" 198576 1523
"Khakassia Republic" "Russia" 87085 2381
"Khanty-Mansi Autonomous Okrug" "Russia" 208153 2530
"Kirov Oblast" "Russia" 149767 989
"Komi Republic" "Russia" 169549 3093
"Kostroma Oblast" "Russia" 87599 1335
"Krasnodar Krai" "Russia" 254667 10767
"Krasnoyarsk Krai" "Russia" 361814 10679
"Kurgan Oblast" "Russia" 102558 1393
"Kursk Oblast" "Russia" 115340 2416
"Leningrad Oblast" "Russia" 183605 3459
"Lipetsk Oblast" "Russia" 147481 3615
"Magadan Oblast" "Russia" 19688 388
"Mari El Republic" "Russia" 44373 1082
"Mordovia Republic" "Russia" 66218 1363
"Moscow" "Russia" 2749509 42928
"Moscow Oblast" "Russia" 964622 14911
"Murmansk Oblast" "Russia" 133877 3291
"Nenets Autonomous Okrug" "Russia" 7253 100
"Nizhny Novgorod Oblast" "Russia" 412822 11404
"North Ossetia - Alania Republic" "Russia" 40526 1247
"Novgorod Oblast" "Russia" 98023 1005
"Novosibirsk Oblast" "Russia" 253708 5499
"Omsk Oblast" "Russia" 204819 4275
"Orel Oblast" "Russia" 109952 1862
"Orenburg Oblast" "Russia" 213179 3922
"Penza Oblast" "Russia" 182070 5672
"Perm Krai" "Russia" 363163 8705
"Primorsky Krai" "Russia" 172175 1920
"Pskov Oblast" "Russia" 108217 1777
"Rostov Oblast" "Russia" 368805 10812
"Ryazan Oblast" "Russia" 117665 3329
"Saint Petersburg" "Russia" 1508997 33245
"Sakha (Yakutiya) Republic" "Russia" 176011 2103
"Sakhalin Oblast" "Russia" 64280 826
"Samara Oblast" "Russia" 378664 7716
"Saratov Oblast" "Russia" 245098 5887
"Smolensk Oblast" "Russia" 128791 2995
"Stavropol Krai" "Russia" 194383 6994
"Sverdlovsk Oblast" "Russia" 433598 10646
"Tambov Oblast" "Russia" 113447 2359
"Tatarstan Republic" "Russia" 140372 1920
"Tomsk Oblast" "Russia" 128082 804
"Tula Oblast" "Russia" 152188 5118
"Tver Oblast" "Russia" 159033 2705
"Tyumen Oblast" "Russia" 188380 4268
"Tyva Republic" "Russia" 44392 349
"Udmurt Republic" "Russia" 164786 3796
"Ulyanovsk Oblast" "Russia" 200034 4598
"Vladimir Oblast" "Russia" 149187 3396
"Volgograd Oblast" "Russia" 212283 6775
"Vologda Oblast" "Russia" 186993 3705
"Voronezh Oblast" "Russia" 374874 8143
"Yamalo-Nenets Autonomous Okrug" "Russia" 136063 1038
