VW;Datum;WoTa;Z1;Z2;Z3;Z4;Z5;Z6;ZZ;SZ;Spieleinsatz;G1;G1A;G2;G2A;G3;G3A;G4;G4A;G5;G5A;G6;G6A;G7;G7A;G8;G8A
18;205;SA;18;26;2;17;41;13;5;0;50985790,5;0;3671695,1;2;1019715,8;37;34449,8;1413;2345,4;4621;110,3;75053;33,9;119082;17,1;1269389;8,8
19;605;MI;2;1;45;44;7;41;26;3;24049708,5;1;4874180,5;1;961988,3;13;46249,4;387;4039,3;1150;209,1;22587;53,2;36585;26,2;467854;11,3
19;905;SA;30;40;22;8;24;36;16;8;65302245,75;1;3265112,2;3;870696,6;94;17367,6;1237;3431,4;6002;108,8;69400;47;128179;20,3;1307378;10,9
20;1305;MI;25;16;34;45;41;47;48;5;21712692;1;1954142,2;0;0;8;67852,1;651;2167,9;1061;204,6;29076;37,3;32792;26,4;471360;10,1
20;1605;SA;36;15;32;47;42;35;46;8;52459557;0;2622977,8;5;419676,4;27;48573,6;886;3848,6;2322;225,9;49714;52,7;65396;32;931887;12,3
21;2005;MI;8;6;47;31;27;28;19;5;22915380;0;3768746,8;2;458307,6;21;27280,2;503;2961,2;1845;124,2;27252;42;48121;19;492931;10,2
21;2305;SA;33;28;20;29;13;14;49;9;50357118,75;0;6286602,7;1;2014284,7;5;251785,5;652;5020,2;1601;314,5;41412;60,8;59311;33,9;857790;12,9
22;2705;MI;11;44;16;9;19;42;29;4;24417734,25;0;7507489,4;2;488354,6;11;55494,8;488;3252,3;1379;177;27786;43,9;38177;25,5;557741;9,6
22;3005;SA;17;35;18;21;36;43;10;9;58425137,25;1;12765751,7;0;0;20;73031,4;1026;3701,3;2615;223,4;55679;52,4;73471;31,8;1061943;12,1
23;306;MI;15;3;9;21;33;18;10;7;21871657,5;0;1093582,8;5;174973,2;10;54679,1;1264;1124,7;1572;139,1;41281;26,4;41849;20,9;578318;8,3
23;606;SA;35;3;23;10;13;27;42;2;51499250,25;1;3668545,3;2;1029985;47;27393,2;1671;2003,2;3873;132,9;87454;29,4;87294;23,5;1382374;8,1
24;1006;MI;32;11;35;36;23;28;17;3;22097487;1;1104874,3;3;294633,1;20;27621,8;525;2735,8;1593;138,7;26067;42,3;43157;20,4;460765;10,5
24;1306;SA;6;48;38;4;42;46;19;7;49936685,25;1;2496834,2;2;998733,7;20;62420,8;900;3606,5;3274;152,5;59362;42;100666;19,8;1034248;10,6
25;1706;MI;10;40;43;7;29;42;8;4;21436065,75;0;1071803,2;0;857442,6;14;38278,6;468;2977,2;1145;187,2;23979;44,6;31429;27,2;451556;10,4
25;2006;SA;37;35;46;18;26;41;29;7;50911623,75;2;1808692,1;2;1446953,7;22;57854,1;1314;2518,4;2431;209,4;66086;38,5;62990;32,3;1081170;10,3
26;2406;MI;39;32;19;9;36;37;27;3;22750670,25;0;1137533,5;1;910026,8;17;33456,8;457;3235,8;1709;133,1;29188;38,9;46416;19,6;528671;9,4
26;2706;SA;37;38;47;45;3;14;7;1;50199001,5;0;3647483,5;2;1003980;13;96536,5;536;6087,5;2419;207,5;41730;60,1;89174;22,5;906726;12,1
27;107;MI;32;11;49;2;26;18;15;5;22931012,25;1;4794034,1;4;229310,1;6;95545,8;661;2254,9;1078;212,7;34697;33;31917;28,7;608853;8,2
27;407;SA;32;31;11;39;15;30;16;1;49684236;0;2484211,8;1;1987369,4;23;54004,6;754;4283,1;2910;170,7;52715;47,1;83435;23,8;1074167;10,1
28;807;MI;4;36;31;40;5;43;18;6;22214536,5;0;3594938,6;0;1484426,9;4;138840,8;305;4734,2;1303;170,4;19575;56,7;36903;24;406681;12
28;1107;SA;43;12;1;14;27;3;39;0;52006814,25;0;6195279,3;2;1484426,9;31;41940,9;1067;3168,1;3110;167,2;61612;42,2;82642;25,1;1147170;9,9
29;1507;MI;2;43;6;14;38;25;39;0;24689535;0;7429756;5;197516,2;5;123447,6;592;2710,8;1130;218,4;28907;42,7;34066;28,9;518475;10,4
29;1807;SA;1;5;9;45;30;2;24;5;55701090;3;3404936,8;6;371340,6;30;46417,5;1394;2597,2;3992;139,5;83865;33,2;108477;20,5;1403675;8,7
30;2207;MI;32;3;19;43;40;8;4;6;21523228,5;0;1076161,4;2;430464,5;15;35872;569;2458,7;1453;148,1;27811;38,6;40871;21;500183;9,4
30;2507;SA;6;31;11;24;35;23;18;0;49854544,5;0;3568888,6;1;1994181,7;28;44512,9;1103;2937,9;3581;139,2;63511;39,2;99088;20,1;1157916;9,4
31;2907;MI;37;20;13;32;9;10;38;3;22539003;1;4695838,7;1;901560,1;15;37565;537;2728,1;1196;188,4;31965;35,2;34451;26,1;556992;8,9
31;108;SA;2;46;44;35;16;30;47;8;50138166;1;2506908,3;2;1002763,3;32;39170,4;1288;2530,2;2240;223,8;52791;47,4;61888;32,4;918034;12
32;508;MI;13;4;36;15;39;19;43;5;21471883,5;0;1073594,1;4;214718,8;13;41292;408;3420,7;900;238,5;21751;49,3;27268;31,4;431334;10,9
32;808;SA;34;19;41;38;32;9;25;2;49924809,75;2;1784917,2;9;221888;54;23113,3;1917;1692,8;4921;101,4;88866;28;121312;16,4;1361652;8
33;1208;MI;15;40;8;37;24;28;18;0;21231814,5;0;1061590,7;1;849272,5;16;33174,7;563;2451,2;1109;191,4;23774;44,6;32885;25,8;415951;11,2
33;1508;SA;23;42;8;34;3;5;7;5;49548962,25;0;3539038,8;5;396391,6;18;68818;1162;2771,6;3325;149;62359;39,7;107737;18,3;1103376;9,8
34;1908;MI;35;32;39;43;22;44;7;9;22344485,25;0;4656263;0;893779,4;6;93102;329;4414,5;1093;204,4;20200;55,3;33461;26,7;395436;12,4
34;2208;SA;12;22;14;8;17;25;1;9;51942607,5;0;7253393,3;6;495247,2;48;27053,4;1379;2448,3;3630;143;64071;40,5;94079;22;1145919;9,9
35;2608;MI;33;43;22;23;15;26;37;6;25097304;0;8508258,5;0;1003892,1;6;104572,1;324;5034,9;1082;231,9;20559;61;32966;30,4;454559;12,1
35;2908;SA;23;36;35;24;44;13;2;6;57068246,25;0;11361670,8;3;1095540,6;74;19279,8;1004;3694,6;3186;179,1;55260;51,6;81438;28;1055296;11,8
36;209;MI;8;34;30;39;7;29;15;4;30525684;0;12887955;2;610513,6;9;84793,5;568;3493,2;1408;216,8;32186;47,4;42051;29;636652;10,5
36;509;SA;25;24;45;26;4;12;40;8;62949528,75;0;16035431,4;2;1258990,5;70;22481,9;1741;2350,2;5931;106,1;94658;33,2;149802;16,8;1571265;8,8
37;909;MI;22;12;16;34;43;29;2;1;36279339;0;17849398,3;3;483724,5;11;82453;674;3498,7;1854;195,6;33976;53,3;53929;26,9;646982;12,3
37;1209;SA;19;23;40;41;34;5;48;8;69911877,75;0;21344992,1;9;310719,4;58;30134,4;1722;2638,9;3873;180,5;97746;35,7;104580;26,7;1670157;9,2
38;1609;MI;32;27;31;22;5;49;30;3;43153446;0;23502664,4;5;345227,5;12;89903;710;3950,6;1562;276,2;46863;46;54973;31,3;939236;10,1
38;1909;SA;39;11;33;22;14;17;48;0;77585485,5;0;27381938,6;10;310341,9;61;31797,3;2293;2199,3;5008;154,9;110414;35,1;128499;24,1;1865952;9,1
39;2309;MI;23;43;30;3;4;44;27;6;87067368,75;1;31735307;7;497527,8;31;70215,6;1441;3927,3;3609;241,2;81832;53,1;131209;26,5;1649123;11,6
39;2609;SA;8;25;33;9;39;45;38;4;59791858,5;0;2989592,9;6;398612,3;32;46712,3;2633;1476;3491;171,2;85345;35;99516;24;1513257;8,6
40;3009;MI;31;22;20;37;41;30;23;6;26018210,25;0;4290503,4;0;1040728,4;2;325227,6;382;4427,1;1103;235,8;23392;55,6;32674;31,8;481330;11,8
40;310;SA;36;16;19;34;27;11;31;4;51617106;1;6871358,7;5;621082,5;41;31473,8;1057;3174,1;4719;109,3;60912;42,3;112670;18,3;1122564;10,1
41;710;MI;38;45;34;48;10;28;33;0;23412720,75;0;1170636;0;936508,8;11;53210,7;446;3412,1;1330;176;27579;42,4;38584;24,2;492310;10,4
41;1010;SA;15;20;27;24;40;16;28;8;52027504,5;0;3772011,2;2;1508804,4;19;68457,2;850;3978,5;2079;250,2;51117;50,8;64996;32;1049651;10,9
42;1410;MI;41;47;43;23;22;10;37;8;24277085,25;0;4985865,4;0;971083,4;7;86703,8;466;3386,2;1235;196,5;25460;47,6;40869;23,7;488430;10,9
42;1710;SA;44;24;31;43;45;39;46;4;55213659;0;7746548,3;5;635925,9;24;57514,2;925;3879,8;2755;200,4;53265;51,8;83244;26,5;1054562;11,5
43;2110;MI;16;25;40;44;42;10;12;4;26630958;0;9078096,2;0;1065238,3;32;20805,4;651;2659;2198;121,1;34311;38,8;50790;20,9;595622;9,8
43;2410;SA;24;48;5;22;39;18;46;1;57202591,5;1;11938225,7;6;558890,3;21;68098,3;1397;2661,5;2561;223,3;71847;39,8;75975;30,1;1283789;9,8
44;2810;MI;42;48;43;39;45;16;36;5;22697039,25;0;1134851,9;1;907881,5;40;14185,6;708;2083,7;1442;157,3;27455;41,3;28586;31,7;436508;11,4
44;3110;SA;21;25;13;22;33;7;28;7;51679606,5;1;3718832,2;6;344530,7;30;43066,3;2034;1651,5;3871;133,5;89361;28,9;95603;21,6;1375838;8,2
45;411;MI;14;8;2;6;28;4;17;5;22554781,5;2;563869,5;9;100243,4;34;16584,3;1471;996,6;2433;92,7;46944;24;48729;18,5;569464;8,7
45;711;SA;34;37;9;28;1;27;31;8;50522721;0;2526136;3;673636,2;22;57412,1;835;3932,9;2410;209,6;50367;50,1;76805;26,3;1055877;10,5
46;1111;MI;19;32;11;10;46;42;14;5;23203719;0;3686321,9;2;464074,3;10;58009,2;659;2288,6;1100;210,9;34835;33,3;31172;29,7;604893;8,4
46;1411;SA;1;44;11;25;3;10;40;8;53129313,75;1;6342787,5;5;425034,5;47;28260,2;1864;1852,6;4117;129;89377;29,7;113571;18,7;1439867;8,1
47;1811;MI;16;25;23;8;44;6;2;2;22032660,75;0;1101633;0;881306,4;7;78688;381;3758,8;1557;141,5;24054;45,7;44515;19,7;468668;10,3
47;2111;SA;47;24;4;44;14;8;25;1;50561821,5;0;3629724;4;725944,8;31;40775,6;2849;1153,5;3143;160,8;76654;32,9;77459;26,1;1017674;10,9
48;2511;MI;10;18;43;12;24;44;22;3;23169810;1;4788214,5;1;926792,4;3;193081,7;467;3224,9;1202;192,7;29000;39,9;34452;26,9;533048;9,5
48;2811;SA;30;33;45;24;34;36;31;6;50080170,75;0;2504008,5;3;667735,6;14;89428,8;737;4416,8;2960;169,1;52823;47,4;75830;26,4;1016752;10,8
49;212;MI;30;32;24;12;31;17;14;9;25025577,75;0;3755287,3;0;1001023,1;16;39102,4;600;2711,1;1319;189,7;37266;33,5;34779;28,7;680368;8
49;512;SA;7;6;16;42;8;29;15;8;55669515;0;6538763;6;537967,2;23;60510,3;1008;3589,8;2756;201,9;61926;44,9;80739;27,5;1201352;10,1
50;912;MI;1;5;26;13;22;29;48;1;26264702,25;0;7851998,1;0;1050588;12;54718,1;711;2401,1;1223;214,7;35487;37;35238;29,8;596918;9,6
50;1212;SA;26;4;38;49;18;22;8;5;57467249,25;1;10725360,5;7;478468,2;45;31926,2;1665;2243,4;4107;139,9;79459;36,1;104433;22;1389553;9
51;1612;MI;19;8;18;11;2;38;10;4;23131790,25;0;1156589,5;1;925271,6;13;44484,2;670;2244,1;2102;110;36791;31,4;54722;16,9;611239;8,3
51;1912;SA;47;14;18;15;7;29;28;3;51701753,25;0;3741677,1;2;1034035;18;71807,9;835;4024,6;2897;178,4;48900;52,8;80608;25,6;964594;11,7
52;2312;MI;5;36;28;44;48;2;31;8;26783295,75;0;5080841,8;1;1071331,8;10;66958,2;426;4086,6;1049;255,3;23608;56,7;34181;31,3;473205;12,4
52;2612;SA;24;11;16;7;49;39;21;8;63088326;1;8235258,1;7;360504,7;41;38468,4;1944;2109,4;4591;137,4;95326;33;114975;21,9;1614546;8,5
53;3012;MI;37;10;40;25;22;16;8;5;25223821,5;0;1261191;2;504476,4;13;48507,3;902;1817,6;1508;167,2;39133;32,2;41465;24,3;592655;9,3
