WFl;Zi;KM
70;2;495
69;2;420
60;2;330
69;2;420
70;2;495
69;2;420
70;2;495
83;3;580
70;3;390
75;3;535
74;4;420
90;4;500
87;4;620
86;4;580
85;4;600
