"Province_State" "Country_Region" "Confirmed" "Deaths"
"Jammu and Kashmir" "India" 311794 4252
"Jharkhand" "India" 344543 5099
"Karnataka" "India" 2806453 33883
"Kerala" "India" 2809394 12060
"Ladakh" "India" 19805 202
"Lakshadweep" "India" 9443 46
"Madhya Pradesh" "India" 789261 8767
"Maharashtra" "India" 5972781 117961
"Manipur" "India" 64065 1047
"Meghalaya" "India" 45286 780
"Mizoram" "India" 17605 83
"Nagaland" "India" 24248 469
"Odisha" "India" 877502 3590
"Puducherry" "India" 114847 1723
"Punjab" "India" 592303 15826
"Rajasthan" "India" 951105 8895
"Sikkim" "India" 19296 293
"Tamil Nadu" "India" 2422497 31197
"Telangana" "India" 613202 3567
"Tripura" "India" 62324 650
"Uttar Pradesh" "India" 1704358 22178
"Uttarakhand" "India" 338644 7035
"West Bengal" "India" 1481707 17348
"Indonesia" "Indonesia" 2004445 54956
"Iran" "Iran" 3105620 83101
"Iraq" "Iraq" 1292700 16910
"Ireland" "Ireland" 269321 4979
"Israel" "Israel" 839990 6427
"Abruzzo" "Italy" 74622 2509
"Basilicata" "Italy" 26831 589
"Calabria" "Italy" 68679 1219
"Campania" "Italy" 423412 7390
"Emilia-Romagna" "Italy" 386346 13248
"Friuli Venezia Giulia" "Italy" 107478 3799
"Lazio" "Italy" 345285 8307
"Liguria" "Italy" 103159 4347
"Lombardia" "Italy" 840772 33757
"Marche" "Italy" 103539 3031
"Molise" "Italy" 13682 491
"P.A. Bolzano" "Italy" 73257 1180
"P.A. Trento" "Italy" 45733 1361
"Piemonte" "Italy" 362614 11691
"Puglia" "Italy" 252882 6609
"Sardegna" "Italy" 57122 1485
"Sicilia" "Italy" 230672 5938
"Toscana" "Italy" 243909 6847
"Umbria" "Italy" 56775 1418
"Valle d'Aosta" "Italy" 11674 472
"Veneto" "Italy" 425017 11603
"Jamaica" "Jamaica" 49712 1034
"Aichi" "Japan" 50599 920
"Akita" "Japan" 776 20
"Aomori" "Japan" 2453 30
"Chiba" "Japan" 39217 700
"Ehime" "Japan" 2753 74
"Fukui" "Japan" 1139 34
"Fukuoka" "Japan" 35275 516
"Fukushima" "Japan" 4791 158
"Gifu" "Japan" 9189 178
"Gunma" "Japan" 8010 152
"Hiroshima" "Japan" 11406 165
"Hokkaido" "Japan" 41026 1346
"Hyogo" "Japan" 40883 1270
"Ibaraki" "Japan" 10286 161
"Ishikawa" "Japan" 3919 115
"Iwate" "Japan" 1633 46
"Kagawa" "Japan" 2083 29
"Kagoshima" "Japan" 3579 38
"Kanagawa" "Japan" 65664 935
"Kochi" "Japan" 1736 23
"Kumamoto" "Japan" 6452 114
"Kyoto" "Japan" 16473 233
"Mie" "Japan" 5190 111
"Miyagi" "Japan" 9115 86
"Miyazaki" "Japan" 3061 26
"Nagano" "Japan" 4977 90
"Nagasaki" "Japan" 3116 69
"Nara" "Japan" 8052 127
"Niigata" "Japan" 3389 46
"Oita" "Japan" 3486 61
"Okayama" "Japan" 7580 124
"Okinawa" "Japan" 20216 168
"Osaka" "Japan" 102486 2601
"Port Quarantine" "Japan" 3073 4
"Saga" "Japan" 2560 25
"Saitama" "Japan" 45635 827
"Shiga" "Japan" 5501 89
"Shimane" "Japan" 563 1
"Shizuoka" "Japan" 9058 146
"Tochigi" "Japan" 6817 81
"Tokushima" "Japan" 1652 62
"Tokyo" "Japan" 169389 2182
"Tottori" "Japan" 467 2
"Toyama" "Japan" 2025 37
"Wakayama" "Japan" 2661 45
"Yamagata" "Japan" 2027 48
"Yamaguchi" "Japan" 3112 73
"Yamanashi" "Japan" 2008 20
"Jordan" "Jordan" 747000 9671
"Kazakhstan" "Kazakhstan" 467069 3511
"Kenya" "Kenya" 179293 3461
"Kiribati" "Kiribati" 2 0
"Korea, South" "Korea, South" 151901 2006
"Kosovo" "Kosovo" 107247 2256
"Kuwait" "Kuwait" 340967 1877
"Kyrgyzstan" "Kyrgyzstan" 115615 1937
"Laos" "Laos" 2054 3
"Latvia" "Latvia" 136850 2496
"Lebanon" "Lebanon" 543551 7825
"Lesotho" "Lesotho" 11107 329
"Liberia" "Liberia" 3109 99
"Libya" "Libya" 191038 3178
"Liechtenstein" "Liechtenstein" 3028 59
"Lithuania" "Lithuania" 278407 4367
"Luxembourg" "Luxembourg" 70535 818
"MS Zaandam" "MS Zaandam" 9 2
"Madagascar" "Madagascar" 42137 903
"Malawi" "Malawi" 34914 1171
"Malaysia" "Malaysia" 701019 4477
"Maldives" "Maldives" 72149 206
"Mali" "Mali" 14385 524
"Malta" "Malta" 30590 420
"Marshall Islands" "Marshall Islands" 4 0
"Mauritania" "Mauritania" 20365 481
"Mauritius" "Mauritius" 1701 18
"Aguascalientes" "Mexico" 26695 2456
"Baja California" "Mexico" 50286 8649
"Baja California Sur" "Mexico" 36319 1486
"Campeche" "Mexico" 11099 1267
"Chiapas" "Mexico" 12063 1656
"Chihuahua" "Mexico" 57486 7493
"Ciudad de Mexico" "Mexico" 673666 34461
"Coahuila" "Mexico" 69397 6376
"Colima" "Mexico" 12208 1210
"Durango" "Mexico" 34588 2495
"Guanajuato" "Mexico" 132655 11079
"Guerrero" "Mexico" 41610 4549
"Hidalgo" "Mexico" 39378 6268
"Jalisco" "Mexico" 88151 12607
"Mexico" "Mexico" 256712 37212
"Michoacan" "Mexico" 49066 5941
"Morelos" "Mexico" 34218 3550
"Nayarit" "Mexico" 12535 1868
"Nuevo Leon" "Mexico" 126088 9692
"Oaxaca" "Mexico" 47969 3898
"Puebla" "Mexico" 85952 12173
"Queretaro" "Mexico" 69570 4452
"Quintana Roo" "Mexico" 30733 2946
"San Luis Potosi" "Mexico" 65045 5428
"Sinaloa" "Mexico" 41039 6362
"Sonora" "Mexico" 77872 6739
"Tabasco" "Mexico" 73707 4236
"Tamaulipas" "Mexico" 63234 5170
"Tlaxcala" "Mexico" 20111 2525
"Veracruz" "Mexico" 63701 10063
"Yucatan" "Mexico" 44434 4105
"Zacatecas" "Mexico" 30964 2832
"Micronesia" "Micronesia" 1 0
"Moldova" "Moldova" 256187 6173
"Monaco" "Monaco" 2549 33
"Mongolia" "Mongolia" 98050 459
"Montenegro" "Montenegro" 100092 1605
"Morocco" "Morocco" 526737 9244
"Mozambique" "Mozambique" 72577 848
"Namibia" "Namibia" 75766 1179
"Nepal" "Nepal" 622640 8772
"Aruba" "Netherlands" 11112 107
"Bonaire, Sint Eustatius and Saba" "Netherlands" 1633 17
"Curacao" "Netherlands" 12319 125
"Drenthe" "Netherlands" 34236 353
"Flevoland" "Netherlands" 36935 244
"Friesland" "Netherlands" 43737 477
"Gelderland" "Netherlands" 188217 2025
"Groningen" "Netherlands" 39228 263
"Limburg" "Netherlands" 115448 1653
"Noord-Brabant" "Netherlands" 272197 3137
"Noord-Holland" "Netherlands" 277231 2623
"Overijssel" "Netherlands" 109992 1139
"Sint Maarten" "Netherlands" 2575 32
"Utrecht" "Netherlands" 128213 1280
"Zeeland" "Netherlands" 29733 248
"Zuid-Holland" "Netherlands" 400550 4270
"Cook Islands" "New Zealand" 1 0
"New Zealand" "New Zealand" 2720 26
"Nicaragua" "Nicaragua" 7696 188
"Niger" "Niger" 5469 193
"Nigeria" "Nigeria" 167292 2118
"North Macedonia" "North Macedonia" 155627 5477
"Norway" "Norway" 129545 790
"Oman" "Oman" 250572 2741
"Azad Jammu and Kashmir" "Pakistan" 19979 573
"Balochistan" "Pakistan" 26673 301
"Gilgit-Baltistan" "Pakistan" 5827 108
"Islamabad" "Pakistan" 82394 775
"Khyber Pakhtunkhwa" "Pakistan" 137147 4274
"Punjab" "Pakistan" 345141 10659
"Sindh" "Pakistan" 332677 5344
"Palau" "Palau" 2 0
"Panama" "Panama" 394241 6477
"Papua New Guinea" "Papua New Guinea" 17013 173
"Paraguay" "Paraguay" 407721 11743
"Amazonas" "Peru" 29518 1141
"Ancash" "Peru" 71806 6369
"Apurimac" "Peru" 24046 1389
"Arequipa" "Peru" 94166 8304
"Ayacucho" "Peru" 29994 1937
"Cajamarca" "Peru" 60925 3850
"Callao" "Peru" 96596 9666
"Cusco" "Peru" 65728 4361
"Huancavelica" "Peru" 15087 1094
"Huanuco" "Peru" 33258 2552
"Ica" "Peru" 54139 7821
"Junin" "Peru" 76602 6540
"La Libertad" "Peru" 81381 9765
"Lambayeque" "Peru" 56772 8050
"Lima" "Peru" 899569 85692
"Loreto" "Peru" 40751 4012
"Madre de Dios" "Peru" 13448 738
"Moquegua" "Peru" 25784 1367
"Pasco" "Peru" 14589 964
"Piura" "Peru" 80812 11422
"Puno" "Peru" 34007 3581
"San Martin" "Peru" 45266 2847
"Tacna" "Peru" 26731 1804
"Tumbes" "Peru" 17194 1495
"Ucayali" "Peru" 31547 2996
"Philippines" "Philippines" 1364239 23749
"Poland" "Poland" 2878840 74829
"Portugal" "Portugal" 865806 17068
"Qatar" "Qatar" 220930 583
"Romania" "Romania" 1080282 32391
"Adygea Republic" "Russia" 14868 230
"Altai Krai" "Russia" 53060 2390
"Altai Republic" "Russia" 17512 247
"Amur Oblast" "Russia" 23403 297
"Arkhangelsk Oblast" "Russia" 65477 1020
"Astrakhan Oblast" "Russia" 35162 821
"Bashkortostan Republic" "Russia" 40191 566
"Belgorod Oblast" "Russia" 40124 731
"Bryansk Oblast" "Russia" 42312 410
"Buryatia Republic" "Russia" 41675 1028
"Chechen Republic" "Russia" 12535 145
"Chelyabinsk Oblast" "Russia" 63698 1737
"Chukotka Autonomous Okrug" "Russia" 786 8
"Chuvashia Republic" "Russia" 26789 1504
"Dagestan Republic" "Russia" 34745 1518
"Ingushetia Republic" "Russia" 16009 190
"Irkutsk Oblast" "Russia" 72324 2602
"Ivanovo Oblast" "Russia" 37550 1265
"Jewish Autonomous Okrug" "Russia" 4608 146
"Kabardino-Balkarian Republic" "Russia" 24641 486
"Kaliningrad Oblast" "Russia" 35075 523
"Kalmykia Republic" "Russia" 21231 400
"Kaluga Oblast" "Russia" 36764 358
"Kamchatka Krai" "Russia" 14932 238
"Karachay-Cherkess Republic" "Russia" 20713 165
"Karelia Republic" "Russia" 48656 602
"Kemerovo Oblast" "Russia" 38553 779
"Khabarovsk Krai" "Russia" 54054 456
"Khakassia Republic" "Russia" 24083 572
"Khanty-Mansi Autonomous Okrug" "Russia" 58938 804
"Kirov Oblast" "Russia" 45720 381
"Komi Republic" "Russia" 45195 981
"Kostroma Oblast" "Russia" 22406 503
"Krasnodar Krai" "Russia" 50565 3268
"Krasnoyarsk Krai" "Russia" 75872 3880
"Kurgan Oblast" "Russia" 22009 435
"Kursk Oblast" "Russia" 39830 896
"Leningrad Oblast" "Russia" 47349 1662
"Lipetsk Oblast" "Russia" 32860 842
"Magadan Oblast" "Russia" 8586 114
"Mari El Republic" "Russia" 14009 272
"Mordovia Republic" "Russia" 21593 312
"Moscow" "Russia" 1294154 21512
"Moscow Oblast" "Russia" 292353 6355
"Murmansk Oblast" "Russia" 52697 1266
"Nenets Autonomous Okrug" "Russia" 1158 4
"Nizhny Novgorod Oblast" "Russia" 121986 4000
"North Ossetia - Alania Republic" "Russia" 17186 224
"Novgorod Oblast" "Russia" 31751 182
"Novosibirsk Oblast" "Russia" 45399 1992
"Omsk Oblast" "Russia" 49163 1472
"Orel Oblast" "Russia" 36663 717
"Orenburg Oblast" "Russia" 45826 1064
"Penza Oblast" "Russia" 48845 926
"Perm Krai" "Russia" 59656 2609
"Primorsky Krai" "Russia" 45720 748
"Pskov Oblast" "Russia" 38759 442
"Rostov Oblast" "Russia" 97521 4613
"Ryazan Oblast" "Russia" 30369 574
"Saint Petersburg" "Russia" 458401 15421
"Sakha (Yakutiya) Republic" "Russia" 40507 747
"Sakhalin Oblast" "Russia" 23933 58
"Samara Oblast" "Russia" 66164 2182
"Saratov Oblast" "Russia" 65076 1240
"Smolensk Oblast" "Russia" 32933 1082
"Stavropol Krai" "Russia" 56145 1618
"Sverdlovsk Oblast" "Russia" 91933 3692
"Tambov Oblast" "Russia" 34139 584
"Tatarstan Republic" "Russia" 22121 523
"Tomsk Oblast" "Russia" 33623 459
"Tula Oblast" "Russia" 41494 2160
"Tver Oblast" "Russia" 44137 1150
"Tyumen Oblast" "Russia" 38056 634
"Tyva Republic" "Russia" 16142 203
"Udmurt Republic" "Russia" 34981 1021
"Ulyanovsk Oblast" "Russia" 57813 1610
"Vladimir Oblast" "Russia" 34686 1250
"Volgograd Oblast" "Russia" 61677 1460
"Vologda Oblast" "Russia" 47169 1139
"Voronezh Oblast" "Russia" 88330 3126
"Yamalo-Nenets Autonomous Okrug" "Russia" 39633 426
"Yaroslavl Oblast" "Russia" 42805 672
"Zabaykalsky Krai" "Russia" 44762 700
"Rwanda" "Rwanda" 31435 388
"Saint Kitts and Nevis" "Saint Kitts and Nevis" 350 2
"Saint Lucia" "Saint Lucia" 5218 80
"Saint Vincent and the Grenadines" "Saint Vincent and the Grenadines" 2196 12
"Samoa" "Samoa" 3 0
"San Marino" "San Marino" 5090 90
"Sao Tome and Principe" "Sao Tome and Principe" 2362 37
"Saudi Arabia" "Saudi Arabia" 475403 7691
"Senegal" "Senegal" 42437 1158
"Serbia" "Serbia" 715841 7004
"Seychelles" "Seychelles" 14123 55
"Sierra Leone" "Sierra Leone" 4879 82
"Singapore" "Singapore" 62430 35
"Slovakia" "Slovakia" 391326 12496
"Slovenia" "Slovenia" 257001 4415
"Solomon Islands" "Solomon Islands" 20 0
"Somalia" "Somalia" 14867 775
"South Africa" "South Africa" 1832479 58795
"South Sudan" "South Sudan" 10786 115
"Andalusia" "Spain" 609412 10016
"Aragon" "Spain" 126177 3537
"Asturias" "Spain" 53474 1975
"Baleares" "Spain" 61224 843
"C. Valenciana" "Spain" 398362 7408
"Canarias" "Spain" 59309 786
"Cantabria" "Spain" 31007 568
"Castilla - La Mancha" "Spain" 195755 5997
"Castilla y Leon" "Spain" 234561 6915
"Catalonia" "Spain" 634903 14714
"Ceuta" "Spain" 5973 116
"Extremadura" "Spain" 76861 1807
"Galicia" "Spain" 128734 2421
"La Rioja" "Spain" 31735 775
"Madrid" "Spain" 727091 15408
"Melilla" "Spain" 9229 97
"Murcia" "Spain" 114245 1606
"Navarra" "Spain" 63545 1180
"Pais Vasco" "Spain" 203054 4520
"Sri Lanka" "Sri Lanka" 241820 2633
"Sudan" "Sudan" 36347 2737
"Suriname" "Suriname" 20141 467
"Blekinge" "Sweden" 12749 129
"Dalarna" "Sweden" 26925 343
"Gavleborg" "Sweden" 35814 560
"Gotland" "Sweden" 3988 51
"Halland" "Sweden" 40737 319
"Jamtland Harjedalen" "Sweden" 12497 121
"Jonkoping" "Sweden" 43263 554
"Kalmar" "Sweden" 24140 245
"Kronoberg" "Sweden" 22177 318
"Norrbotten" "Sweden" 25779 270
"Orebro" "Sweden" 32044 342
"Ostergotland" "Sweden" 42235 633
"Skane" "Sweden" 155639 1749
"Sormland" "Sweden" 25764 467
"Stockholm" "Sweden" 253951 4353
"Uppsala" "Sweden" 40338 538
"Varmland" "Sweden" 19501 212
"Vasterbotten" "Sweden" 23298 181
"Vasternorrland" "Sweden" 26791 474
"Vastmanland" "Sweden" 27486 348
"Vastra Gotaland" "Sweden" 189520 2367
"Switzerland" "Switzerland" 701994 10875
"Syria" "Syria" 25158 1848
"Taiwan*" "Taiwan*" 14080 569
"Tajikistan" "Tajikistan" 13308 90
"Tanzania" "Tanzania" 509 21
"Thailand" "Thailand" 221306 1658
"Timor-Leste" "Timor-Leste" 8728 19
"Togo" "Togo" 13731 128
"Trinidad and Tobago" "Trinidad and Tobago" 30767 747
"Tunisia" "Tunisia" 385428 14118
"Turkey" "Turkey" 5375593 49236
"Alabama" "US" 7242 113
"Alabama" "US" 21901 314
"Alabama" "US" 2345 59
"Alabama" "US" 2685 64
"Alabama" "US" 6950 139
"Alabama" "US" 1245 42
"Alabama" "US" 2246 71
"Alabama" "US" 14724 327
"Alabama" "US" 3728 124
"Alabama" "US" 1873 45
"Alabama" "US" 4478 116
"Alabama" "US" 621 25
"Alabama" "US" 3531 61
"Alabama" "US" 1601 59
"Alabama" "US" 1536 44
"Alabama" "US" 5638 127
"Alabama" "US" 6415 140
"Alabama" "US" 1136 30
"Alabama" "US" 1116 29
"Alabama" "US" 4279 122
"Alabama" "US" 1563 57
"Alabama" "US" 9958 201
"Alabama" "US" 4930 116
"Alabama" "US" 3610 158
"Alabama" "US" 8977 190
"Alabama" "US" 10301 214
"Alabama" "US" 4018 80
"Alabama" "US" 14183 364
"Alabama" "US" 2189 62
"Alabama" "US" 4317 82
"Alabama" "US" 2584 81
"Alabama" "US" 936 34
"Alabama" "US" 2271 78
"Alabama" "US" 1944 43
"Alabama" "US" 10791 287
"Alabama" "US" 6953 113
"Alabama" "US" 81046 1571
"Alabama" "US" 1469 37
"Alabama" "US" 9612 250
"Alabama" "US" 3134 100
"Alabama" "US" 16287 176
"Alabama" "US" 10188 157
"Alabama" "US" 1422 54
"Alabama" "US" 1630 51
"Alabama" "US" 35718 525
"Alabama" "US" 2506 65
"Alabama" "US" 3245 107
"Alabama" "US" 12454 230
"Alabama" "US" 42145 831
"Alabama" "US" 1806 41
"Alabama" "US" 25089 614
"Alabama" "US" 14639 285
"Alabama" "US" 0 0
"Alabama" "US" 1086 26
"Alabama" "US" 2370 62
"Alabama" "US" 3145 78
"Alabama" "US" 1876 44
"Alabama" "US" 4549 41
"Alabama" "US" 25626 254
"Alabama" "US" 10161 251
"Alabama" "US" 1058 32
"Alabama" "US" 8462 184
"Alabama" "US" 4144 155
"Alabama" "US" 26179 458
"Alabama" "US" 0 0
"Alabama" "US" 7341 280
"Alabama" "US" 1707 39
"Alabama" "US" 1269 30
"Alabama" "US" 2835 72
"Alaska" "US" 369 3
"Alaska" "US" 721 1
"Alaska" "US" 31058 179
"Alaska" "US" 3912 22
"Alaska" "US" 0 0
"Alaska" "US" 203 0
"Alaska" "US" 440 3
"Alaska" "US" 252 0
"Alaska" "US" 112 0
