"Province_State" "Country_Region" "Confirmed" "Deaths"
"Afghanistan" "Afghanistan" 103902 4215
"Albania" "Albania" 132490 2454
"Algeria" "Algeria" 136294 3641
"Andorra" "Andorra" 13864 127
"Angola" "Angola" 37748 868
"Antigua and Barbuda" "Antigua and Barbuda" 1263 42
"Argentina" "Argentina" 4277395 89490
"Armenia" "Armenia" 224253 4499
"Australian Capital Territory" "Australia" 124 3
"New South Wales" "Australia" 5655 54
"Northern Territory" "Australia" 176 0
"Queensland" "Australia" 1673 7
"South Australia" "Australia" 788 4
"Tasmania" "Australia" 234 13
"Victoria" "Australia" 20696 820
"Western Australia" "Australia" 1020 9
"Austria" "Austria" 649670 10680
"Azerbaijan" "Azerbaijan" 335521 4963
"Bahamas" "Bahamas" 12364 243
"Bahrain" "Bahrain" 263295 1311
"Bangladesh" "Bangladesh" 856304 13626
"Barbados" "Barbados" 4045 47
"Belarus" "Belarus" 411153 3053
"Antwerp" "Belgium" 140684 0
"Brussels" "Belgium" 132896 0
"East Flanders" "Belgium" 123664 0
"Flemish Brabant" "Belgium" 82203 0
"Hainaut" "Belgium" 159110 0
"Liege" "Belgium" 130167 0
"Limburg" "Belgium" 60900 0
"Luxembourg" "Belgium" 31177 0
"Namur" "Belgium" 59172 0
"Walloon Brabant" "Belgium" 41516 0
"West Flanders" "Belgium" 97324 0
"Belize" "Belize" 13039 329
"Benin" "Benin" 8140 103
"Bhutan" "Bhutan" 1939 1
"Bolivia" "Bolivia" 422811 16174
"Bosnia and Herzegovina" "Bosnia and Herzegovina" 204860 9643
"Botswana" "Botswana" 65808 1069
"Acre" "Brazil" 84918 1732
"Alagoas" "Brazil" 210301 5155
"Amapa" "Brazil" 115771 1803
"Amazonas" "Brazil" 397525 13226
"Bahia" "Brazil" 1099499 23254
"Ceara" "Brazil" 866909 22103
"Distrito Federal" "Brazil" 423833 9113
"Espirito Santo" "Brazil" 507993 11300
"Goias" "Brazil" 655838 18488
"Maranhao" "Brazil" 308520 8779
"Mato Grosso" "Brazil" 437846 11511
"Mato Grosso do Sul" "Brazil" 324299 7826
"Minas Gerais" "Brazil" 1739929 44583
"Para" "Brazil" 542075 15208
"Paraiba" "Brazil" 378064 8411
"Parana" "Brazil" 1217064 30038
"Pernambuco" "Brazil" 537476 17281
"Piaui" "Brazil" 290302 6397
"Rio Grande do Norte" "Brazil" 291738 6615
"Rio Grande do Sul" "Brazil" 1183398 30450
"Rio de Janeiro" "Brazil" 933112 54267
"Rondonia" "Brazil" 244087 6042
"Roraima" "Brazil" 109702 1704
"Santa Catarina" "Brazil" 1027760 16374
"Sao Paulo" "Brazil" 3587646 122258
"Sergipe" "Brazil" 258425 5562
"Tocantins" "Brazil" 192801 3106
"Brunei" "Brunei" 255 3
"Bulgaria" "Bulgaria" 421152 18000
"Burkina Faso" "Burkina Faso" 13469 167
"Burma" "Burma" 148617 3265
"Burundi" "Burundi" 5242 8
"Cabo Verde" "Cabo Verde" 32039 283
"Cambodia" "Cambodia" 43446 441
"Cameroon" "Cameroon" 80328 1313
"Alberta" "Canada" 231419 2292
"British Columbia" "Canada" 147131 1743
"Diamond Princess" "Canada" 0 1
"Grand Princess" "Canada" 13 0
"Manitoba" "Canada" 55405 1125
"New Brunswick" "Canada" 2318 45
"Newfoundland and Labrador" "Canada" 1383 7
"Northwest Territories" "Canada" 128 0
"Nova Scotia" "Canada" 5791 90
"Nunavut" "Canada" 657 4
"Ontario" "Canada" 550084 9037
"Prince Edward Island" "Canada" 206 0
"Quebec" "Canada" 374011 11191
"Repatriated Travellers" "Canada" 13 0
"Saskatchewan" "Canada" 48490 565
"Yukon" "Canada" 187 3
"Central African Republic" "Central African Republic" 7129 98
"Chad" "Chad" 4947 174
"Antofagasta" "Chile" 56501 1104
"Araucania" "Chile" 90300 1183
"Arica y Parinacota" "Chile" 24498 472
"Atacama" "Chile" 23850 268
"Aysen" "Chile" 7362 53
"Biobio" "Chile" 140490 2253
"Coquimbo" "Chile" 43475 783
"Los Lagos" "Chile" 83043 1161
"Los Rios" "Chile" 43731 514
"Magallanes" "Chile" 28685 438
"Maule" "Chile" 93555 1481
"Metropolitana" "Chile" 639842 16544
"Nuble" "Chile" 33307 555
"OHiggins" "Chile" 64030 1288
"Tarapaca" "Chile" 38496 717
"Valparaiso" "Chile" 111006 2831
"Anhui" "China" 1004 6
"Beijing" "China" 1075 9
"Chongqing" "China" 598 6
"Fujian" "China" 659 1
"Gansu" "China" 194 2
"Guangdong" "China" 2706 8
"Guangxi" "China" 275 2
"Guizhou" "China" 147 2
"Hainan" "China" 188 6
"Hebei" "China" 1317 7
"Heilongjiang" "China" 1612 13
"Henan" "China" 1317 22
"Hong Kong" "China" 11889 210
"Hubei" "China" 68160 4512
"Hunan" "China" 1051 4
"Inner Mongolia" "China" 394 1
"Jiangsu" "China" 740 0
"Jiangxi" "China" 937 1
"Jilin" "China" 573 3
"Liaoning" "China" 426 2
"Macau" "China" 53 0
"Ningxia" "China" 76 0
"Qinghai" "China" 18 0
"Shaanxi" "China" 624 3
"Shandong" "China" 883 7
"Shanghai" "China" 2184 7
"Shanxi" "China" 253 0
"Sichuan" "China" 1064 3
"Tianjin" "China" 399 3
"Tibet" "China" 1 0
"Xinjiang" "China" 980 3
"Yunnan" "China" 391 2
"Zhejiang" "China" 1383 1
"Amazonas" "Colombia" 6376 243
"Antioquia" "Colombia" 610130 13270
"Arauca" "Colombia" 9553 289
"Atlantico" "Colombia" 285037 8865
"Bolivar" "Colombia" 123481 2359
"Boyaca" "Colombia" 82016 1898
"Caldas" "Colombia" 83827 1719
"Capital District" "Colombia" 1165221 22105
"Caqueta" "Colombia" 19585 738
"Casanare" "Colombia" 26703 655
"Cauca" "Colombia" 38548 1045
"Cesar" "Colombia" 76945 2082
"Choco" "Colombia" 13505 334
"Cordoba" "Colombia" 74363 2840
"Cundinamarca" "Colombia" 204717 5261
"Guainia" "Colombia" 1993 23
"Guaviare" "Colombia" 4031 67
"Huila" "Colombia" 67017 2247
"La Guajira" "Colombia" 38548 1219
"Magdalena" "Colombia" 77125 2877
"Meta" "Colombia" 65207 1538
"Narino" "Colombia" 73092 2467
"Norte de Santander" "Colombia" 70270 3351
"Putumayo" "Colombia" 13109 549
"Quindio" "Colombia" 47227 1419
"Risaralda" "Colombia" 71037 1745
"San Andres y Providencia" "Colombia" 6166 122
"Santander" "Colombia" 174145 5540
"Sucre" "Colombia" 44322 1298
"Tolima" "Colombia" 85217 2740
"Valle del Cauca" "Colombia" 305921 9626
"Vaupes" "Colombia" 1660 15
"Vichada" "Colombia" 2311 36
"Comoros" "Comoros" 3912 146
"Congo (Brazzaville)" "Congo (Brazzaville)" 12298 161
"Congo (Kinshasa)" "Congo (Kinshasa)" 37926 879
"Costa Rica" "Costa Rica" 354095 4530
"Cote d'Ivoire" "Cote d'Ivoire" 48047 308
"Croatia" "Croatia" 359184 8182
"Cuba" "Cuba" 169365 1170
"Cyprus" "Cyprus" 73710 374
"Czechia" "Czechia" 1666082 30280
"Faroe Islands" "Denmark" 768 1
"Greenland" "Denmark" 49 0
"Denmark" "Denmark" 291801 2531
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 11591 155
"Dominica" "Dominica" 191 0
"Dominican Republic" "Dominican Republic" 317645 3758
"Ecuador" "Ecuador" 446633 21304
"Egypt" "Egypt" 277797 15898
"El Salvador" "El Salvador" 77484 2336
"Equatorial Guinea" "Equatorial Guinea" 8708 120
"Eritrea" "Eritrea" 5421 19
"Estonia" "Estonia" 130818 1268
"Eswatini" "Eswatini" 18831 677
"Ethiopia" "Ethiopia" 275318 4286
"Fiji" "Fiji" 2090 7
"Finland" "Finland" 94379 967
"French Guiana" "France" 26450 141
"French Polynesia" "France" 18972 142
"Guadeloupe" "France" 17427 266
"Martinique" "France" 12199 99
"Mayotte" "France" 19389 174
"New Caledonia" "France" 129 0
"Reunion" "France" 28441 220
"Saint Barthelemy" "France" 1005 1
"Saint Pierre and Miquelon" "France" 26 0
"St Martin" "France" 2133 12
"Wallis and Futuna" "France" 445 7
"France" "France" 5692968 109878
"Gabon" "Gabon" 24864 158
"Gambia" "Gambia" 6045 181
"Georgia" "Georgia" 359141 5175
"Baden-Wurttemberg" "Germany" 499767 10170
"Bayern" "Germany" 646590 15202
"Berlin" "Germany" 179921 3545
"Brandenburg" "Germany" 108642 3788
"Bremen" "Germany" 27392 483
"Hamburg" "Germany" 77136 1587
"Hessen" "Germany" 290249 7490
"Mecklenburg-Vorpommern" "Germany" 44103 1148
"Niedersachsen" "Germany" 260679 5733
"Nordrhein-Westfalen" "Germany" 814963 17064
"Rheinland-Pfalz" "Germany" 154936 3871
"Saarland" "Germany" 41389 1019
"Sachsen" "Germany" 285690 10024
"Sachsen-Anhalt" "Germany" 99219 3418
"Schleswig-Holstein" "Germany" 63780 1619
"Thuringen" "Germany" 128669 4316
"Ghana" "Ghana" 95059 794
"Greece" "Greece" 418548 12559
"Grenada" "Grenada" 161 1
"Guatemala" "Guatemala" 280854 8735
"Guinea" "Guinea" 23535 168
"Guinea-Bissau" "Guinea-Bissau" 3825 69
"Guyana" "Guyana" 19144 449
"Haiti" "Haiti" 17061 369
"Holy See" "Holy See" 27 0
"Honduras" "Honduras" 254194 6772
"Hungary" "Hungary" 807630 29959
"Iceland" "Iceland" 6555 29
"Andaman and Nicobar Islands" "India" 7406 127
"Andhra Pradesh" "India" 1850563 12319
"Arunachal Pradesh" "India" 33081 159
"Assam" "India" 482505 4208
"Bihar" "India" 719694 9550
"Chandigarh" "India" 61430 806
"Chhattisgarh" "India" 990675 13387
"Dadra and Nagar Haveli and Daman and Diu" "India" 10514 4
"Delhi" "India" 1432292 24914
"Goa" "India" 164436 2990
"Gujarat" "India" 822334 10032
"Haryana" "India" 767418 9246
"Himachal Pradesh" "India" 200410 3442
