"Province_State" "Country_Region" "Lat" "Long" "Confirmed" "Deaths"
"Florida" "US" 30.33225875 -81.66976468 95425 1355
"Florida" "US" 30.67652764 -87.37284571 35472 675
"Florida" "US" 29.45933576 -81.31508595 7046 106
"Florida" "US" 29.83791238 -84.82731662 1308 17
"Florida" "US" 30.57796289 -84.61915825 5596 94
"Florida" "US" 29.72856978 -82.79880657 1568 43
"Florida" "US" 26.95635849 -81.18996211 940 19
"Florida" "US" 29.93543004 -85.2427099 1930 42
"Florida" "US" 30.49673973 -82.94998918 1611 25
"Florida" "US" 27.49293939 -81.80956574 3020 42
"Florida" "US" 26.55386945 -81.16469006 4592 79
"Florida" "US" 28.55364461 -82.42700204 13241 448
"Florida" "US" 27.34254618 -81.34071957 8136 338
"Florida" "US" 27.9276559 -82.32013172 130329 1660
"Florida" "US" 30.86747479 -85.81319222 2225 48
"Florida" "US" 27.69308961 -80.60556721 12195 290
"Florida" "US" 30.7954597 -85.21500423 6119 157
"Florida" "US" 30.43669112 -83.89442308 1455 27
"Florida" "US" 29.98484137 -83.18166636 1612 26
"Florida" "US" 28.76202069 -81.7125123 28379 620
"Florida" "US" 26.58410348 -81.88399313 66760 944
"Florida" "US" 30.45955727 -84.27491114 30974 309
"Florida" "US" 29.31829741 -82.74007147 3292 49
"Florida" "US" 30.23766008 -84.8829258 1062 16
"Florida" "US" 30.44396917 -83.47398594 2042 44
"Florida" "US" 27.47196942 -82.31831044 36938 652
"Florida" "US" 29.21227113 -82.05803627 30060 945
"Florida" "US" 27.0772071 -80.43109784 11939 314
"Florida" "US" 25.6112362 -80.55170587 471595 6049
"Florida" "US" 25.20904673 -81.07812416 6752 50
"Florida" "US" 30.61037141 -81.80297522 8148 124
"Florida" "US" 30.69143028 -86.59267105 20168 359
"Florida" "US" 27.3863362 -80.88944347 3906 87
"Florida" "US" 28.51367621 -81.31799498 132053 1228
"Florida" "US" 28.06312234 -81.14882926 42430 492
"Florida" "US" 26.64676272 -80.46536002 139199 2723
"Florida" "US" 28.30810945 -82.40227529 39145 719
"Florida" "US" 27.93130349 -82.72239666 76792 1579
"Florida" "US" 27.95027105 -81.69732947 65084 1283
"Florida" "US" 29.60779729 -81.74230285 6283 138
"Florida" "US" 30.6934145 -87.02458128 17996 282
"Florida" "US" 27.18546175 -82.33174248 31472 806
"Florida" "US" 28.7158582 -81.24060348 32403 480
"Florida" "US" 29.90096506 -81.43589967 21976 206
"Florida" "US" 27.37763908 -80.47106649 25241 611
"Florida" "US" 28.70181754 -82.0794267 9101 270
"Florida" "US" 30.19746066 -82.9909967 5289 137
"Florida" "US" 30.04848048 -83.60445406 2706 45
"Florida" "US" 30.04412971 -82.37497443 1796 71
"Florida" "US" 29.05858895 -81.18263252 41346 762
"Florida" "US" 30.16548905 -84.39895211 3348 54
"Florida" "US" 30.64204028 -86.16935664 7618 87
"Florida" "US" 30.61359259 -85.66002461 2701 51
"Georgia" "US" 31.74847232 -82.28909114 2279 70
"Georgia" "US" 31.29633502 -82.87545866 1016 19
"Georgia" "US" 31.55456473 -82.45936528 1625 36
"Georgia" "US" 31.32669878 -84.44218806 227 9
"Georgia" "US" 33.06882326 -83.24701748 4442 126
"Georgia" "US" 34.35607081 -83.49644388 1786 35
"Georgia" "US" 33.99148694 -83.71436292 9695 131
"Georgia" "US" 34.23732119 -84.83887523 14332 223
"Georgia" "US" 31.76095874 -83.22145359 2065 78
"Georgia" "US" 31.27590016 -83.2252992 1816 43
"Georgia" "US" 32.80904227 -83.70489165 15558 437
"Georgia" "US" 32.43829035 -83.33035166 1434 51
"Georgia" "US" 31.19576557 -81.97743999 1597 37
"Georgia" "US" 30.83922642 -83.58303423 1377 47
"Georgia" "US" 32.00979311 -81.44002948 3555 37
"Georgia" "US" 32.39577406 -81.74811421 6709 111
"Georgia" "US" 33.05917989 -81.99928721 2530 60
"Georgia" "US" 33.2830945 -83.9543504 3015 79
"Georgia" "US" 31.53169785 -84.62725131 576 15
"Georgia" "US" 30.92951916 -81.66601818 3896 33
"Georgia" "US" 32.40209349 -82.07702563 927 65
"Georgia" "US" 33.58138199 -85.07976677 11184 235
"Georgia" "US" 34.89872298 -85.13757014 6124 68
"Georgia" "US" 30.78371028 -82.13951596 1345 32
"Georgia" "US" 32.00043026 -81.12489526 22727 432
"Georgia" "US" 32.34341231 -84.78809239 3809 15
"Georgia" "US" 34.47197698 -85.34535662 2758 68
"Georgia" "US" 34.24393976 -84.47431861 30324 312
"Georgia" "US" 33.95436462 -83.37124007 14842 140
"Georgia" "US" 31.62221166 -84.97713865 237 3
"Georgia" "US" 33.54187245 -84.35594188 25692 453
"Georgia" "US" 30.91395822 -82.70432472 955 26
"Georgia" "US" 33.94243204 -84.5761255 76387 1020
"Georgia" "US" 31.54892966 -82.8549206 5276 169
"Georgia" "US" 31.18810588 -83.7677946 4621 114
"Georgia" "US" 33.54534185 -82.263524 16557 197
"Georgia" "US" 31.16068491 -83.42947229 1807 41
"Georgia" "US" 33.35334302 -84.76129976 13814 214
"Georgia" "US" 32.71391813 -83.98061238 655 19
"Georgia" "US" 31.92289565 -83.76811843 2044 77
"Georgia" "US" 34.8549167 -85.50490424 1386 12
"Georgia" "US" 34.44244079 -84.16964071 2977 42
"Georgia" "US" 33.76944049 -84.22396017 63830 970
"Georgia" "US" 30.87967778 -84.57619536 2890 67
"Georgia" "US" 32.17265114 -83.16948926 2087 101
"Georgia" "US" 32.15630737 -83.79746561 1059 44
"Georgia" "US" 31.53328528 -84.21722377 7361 296
"Georgia" "US" 33.70291126 -84.77026156 14779 209
"Georgia" "US" 31.32155345 -84.90255207 1163 48
"Georgia" "US" 30.71101099 -82.89687287 465 9
"Georgia" "US" 32.36616021 -81.34280942 4497 67
"Georgia" "US" 34.11302332 -82.83936148 2271 71
"Georgia" "US" 32.59221302 -82.30239915 2528 81
"Georgia" "US" 32.15328841 -81.8870105 950 29
"Georgia" "US" 34.86430205 -84.316964 2346 68
"Georgia" "US" 33.41357794 -84.49089434 8727 166
"Georgia" "US" 34.26268279 -85.21577392 11819 217
"Georgia" "US" 34.22604035 -84.1231513 21873 180
"Georgia" "US" 34.37525597 -83.23159927 2614 49
"Georgia" "US" 33.79216944 -84.46319413 94575 1339
"Georgia" "US" 34.69316688 -84.45802506 2900 82
"Georgia" "US" 33.22879932 -82.61297636 263 19
"Georgia" "US" 31.23279254 -81.53811412 7983 171
"Georgia" "US" 34.50487351 -84.87296253 8033 111
"Georgia" "US" 30.87454847 -84.23418364 2091 59
"Georgia" "US" 33.5769205 -83.17139104 1799 63
"Georgia" "US" 33.96044201 -84.02137802 99283 1117
"Georgia" "US" 34.63331566 -83.53094677 5016 157
"Georgia" "US" 34.32207823 -83.81896936 26758 454
"Georgia" "US" 33.2721566 -82.99766919 905 64
"Georgia" "US" 33.79602175 -85.21005667 2593 81
"Georgia" "US" 32.73709786 -84.90538572 2502 57
"Georgia" "US" 34.34626973 -82.96567682 2341 52
"Georgia" "US" 33.29686567 -85.12886832 851 19
"Georgia" "US" 33.4533428 -84.1481466 24494 316
"Georgia" "US" 32.45802497 -83.66879087 14265 248
"Georgia" "US" 31.60213036 -83.27501387 901 28
"Georgia" "US" 34.13794553 -83.56814788 9680 148
"Georgia" "US" 33.31535543 -83.68844964 1377 38
"Georgia" "US" 31.80405727 -82.6372487 1866 45
"Georgia" "US" 33.05867328 -82.41609057 1926 64
"Georgia" "US" 32.79248718 -81.96040187 845 43
"Georgia" "US" 32.70211082 -82.66166794 1105 49
"Georgia" "US" 33.02512137 -83.56019163 1975 57
"Georgia" "US" 33.07841647 -84.14263877 1997 55
"Georgia" "US" 31.0382857 -83.06472457 766 13
"Georgia" "US" 32.46325233 -82.92221316 5501 165
"Georgia" "US" 31.7793306 -84.14324253 2693 57
"Georgia" "US" 31.82588896 -81.49251135 3864 62
"Georgia" "US" 33.79201475 -82.45024131 792 26
"Georgia" "US" 31.75218791 -81.74952375 829 11
"Georgia" "US" 30.83568832 -83.27056716 12432 203
"Georgia" "US" 34.57286511 -84.00425681 2897 68
"Georgia" "US" 32.35207048 -84.04234127 843 29
"Georgia" "US" 34.12920917 -83.21218732 3186 56
"Georgia" "US" 32.3483402 -84.52733571 555 19
"Georgia" "US" 33.47851918 -82.48252774 2411 47
"Georgia" "US" 31.49683595 -81.40163426 846 16
"Georgia" "US" 33.04163534 -84.68859732 1959 83
"Georgia" "US" 31.16568912 -84.73151117 844 13
"Georgia" "US" 31.22483255 -84.19381821 2044 81
"Georgia" "US" 33.014289 -83.92097166 2592 99
"Georgia" "US" 32.17201038 -82.53527476 873 23
"Georgia" "US" 33.59232073 -83.49129491 2084 28
"Georgia" "US" 34.78897608 -84.74993177 4851 82
"Georgia" "US" 32.50931999 -84.87142262 15860 437
"Georgia" "US" 33.55514538 -83.8454714 10743 233
"Georgia" "US" 33.83749973 -83.43679568 3950 70
"Georgia" "US" 33.8786296 -83.08278123 1462 29
"Georgia" "US" 33.91969522 -84.86848792 16325 209
"Georgia" "US" 32.56934316 -83.82937 2566 59
"Georgia" "US" 34.46589159 -84.46406611 3339 74
"Georgia" "US" 31.35928155 -82.21598442 2416 56
"Georgia" "US" 33.09310242 -84.38790389 2228 40
"Georgia" "US" 34.00267074 -85.18677781 5550 90
"Georgia" "US" 32.23334561 -83.4754996 916 44
"Georgia" "US" 33.32056115 -83.37552891 2144 57
"Georgia" "US" 31.86728114 -85.01773177 166 2
"Georgia" "US" 34.88389445 -83.40304637 1679 49
"Georgia" "US" 31.76622818 -84.75732369 621 33
"Georgia" "US" 33.35777107 -82.07026432 24041 491
"Georgia" "US" 33.65145002 -84.02202167 7406 168
"Georgia" "US" 32.2654021 -84.31258912 347 5
"Georgia" "US" 32.74976524 -81.60779441 973 31
"Georgia" "US" 30.93464824 -84.86823924 941 18
"Georgia" "US" 33.26310031 -84.28013991 6111 186
"Georgia" "US" 34.55151201 -83.29405315 3064 81
"Georgia" "US" 32.07996777 -84.83208037 882 23
"Georgia" "US" 32.03650571 -84.19821492 2525 99
"Georgia" "US" 32.69642758 -84.53351366 469 18
"Georgia" "US" 33.56543317 -82.88136816 122 3
"Georgia" "US" 32.04785085 -82.05539188 2286 65
"Georgia" "US" 32.55792548 -84.25077141 792 25
"Georgia" "US" 31.92829517 -82.93491155 1275 57
"Georgia" "US" 31.77527543 -84.44069698 789 47
"Georgia" "US" 30.86392347 -83.91847289 4349 123
"Georgia" "US" 31.45743864 -83.5236119 4826 125
"Georgia" "US" 32.12059861 -82.32957247 3339 110
"Georgia" "US" 34.91369188 -83.7410746 1183 54
"Georgia" "US" 32.40422134 -82.56904553 839 27
"Georgia" "US" 33.03349196 -85.02812115 7362 220
"Georgia" "US" 31.71612656 -83.62069378 989 37
"Georgia" "US" 32.67435595 -83.43078662 708 42
"Georgia" "US" 34.82995757 -83.98967069 2162 70
"Georgia" "US" 32.87920671 -84.30024826 3402 125
"Georgia" "US" 34.73376362 -85.30165174 7220 86
"Georgia" "US" 33.78017694 -83.73552314 10374 253
"Georgia" "US" 31.05449097 -82.42224148 4798 171
"Georgia" "US" 33.41146451 -82.67795848 516 16
"Georgia" "US" 32.96711864 -82.79357039 2009 85
"Georgia" "US" 31.5521809 -81.91894878 3521 83
"Georgia" "US" 32.04066113 -84.54742852 144 4
"Georgia" "US" 32.12009104 -82.72574721 621 24
"Georgia" "US" 34.64624278 -83.74905525 3134 78
"Georgia" "US" 34.80987459 -84.96093476 16682 240
"Georgia" "US" 31.97496928 -83.43438555 818 47
"Georgia" "US" 33.78290391 -82.74286107 1066 26
"Georgia" "US" 32.80291082 -83.17140684 914 28
"Georgia" "US" 31.55162306 -83.85090513 1751 66
"Guam" "US" 13.4443 144.7937 7879 136
"Hawaii" "US" 19.60121157 -155.5210167 2694 53
"Hawaii" "US" 21.45803166 -157.9712182 24730 370
"Hawaii" "US" 22.03935037 -159.5966786 203 1
"Hawaii" "US" 20.86399628 -156.5689097 4152 47
"Idaho" "US" 43.4526575 -116.2415516 50756 456
"Idaho" "US" 44.89333571 -116.4545247 333 4
"Idaho" "US" 42.67002716 -112.2233311 8597 105
"Idaho" "US" 42.28269683 -111.3289238 376 2
"Idaho" "US" 47.21754179 -116.6586851 661 9
"Idaho" "US" 43.2167288 -112.3978437 4771 73
"Idaho" "US" 43.4085812 -113.9752658 2333 18
"Idaho" "US" 43.98829931 -115.7309284 341 2
"Idaho" "US" 48.29996017 -116.6017932 3190 39
"Idaho" "US" 43.38713372 -111.6161537 14650 168
"Idaho" "US" 48.76684761 -116.4630179 856 10
"Idaho" "US" 43.72592209 -113.1735463 206 1
"Idaho" "US" 43.46665742 -114.8065892 71 0
"Idaho" "US" 43.61970148 -116.7095499 26113 291
"Idaho" "US" 42.77149116 -111.5597683 682 12
"Idaho" "US" 42.28347888 -113.6012409 2925 26
"Idaho" "US" 44.28496071 -112.3505704 59 0
"Idaho" "US" 46.67459924 -115.6622393 1037 13
"Idaho" "US" 44.24186819 -114.2855494 243 3
"Idaho" "US" 43.3507101 -115.4701578 1904 14
"Idaho" "US" 42.18332217 -111.8149666 1167 16
"Idaho" "US" 44.22800938 -111.4809943 1119 14
"Idaho" "US" 44.06482372 -116.398376 1742 37
"Idaho" "US" 42.96927962 -114.8108306 1297 24
"Idaho" "US" 45.84721541 -115.4634436 1184 18
"Idaho" "US" 43.82078483 -112.3131749 2950 24
"Idaho" "US" 42.68891267 -114.2655033 2564 23
"Idaho" "US" 47.67282258 -116.7020872 17502 204
"Idaho" "US" 46.81587887 -116.7113698 3037 10
"Idaho" "US" 44.9438088 -113.9309747 523 9
"Idaho" "US" 46.23315327 -116.434146 388 9
"Idaho" "US" 43.0012336 -114.1358773 498 11
"Idaho" "US" 43.78141028 -111.6538474 7101 24
"Idaho" "US" 42.85518524 -113.6357257 2322 32
"Idaho" "US" 46.32638236 -116.7500975 3537 54
"Idaho" "US" 42.1949428 -112.5407838 353 4
"Idaho" "US" 42.58016894 -116.1693871 1052 27
"Idaho" "US" 44.00545243 -116.7647695 2498 36
"Idaho" "US" 42.69254894 -112.8395742 651 9
"Idaho" "US" 47.35364087 -115.8916749 1073 34
"Idaho" "US" 43.75303583 -111.2056773 1195 4
"Idaho" "US" 42.35440512 -114.6685381 9327 126
"Idaho" "US" 44.76728382 -115.5676773 831 6
"Idaho" "US" 44.45275475 -116.7847688 1212 21
"Illinois" "US" 39.98815591 -91.18786813 8195 117
"Illinois" "US" 37.18049267 -89.32910838 462 11
"Illinois" "US" 38.88829622 -89.43534887 1975 24
"Illinois" "US" 42.32359279 -88.82345779 6395 71
"Illinois" "US" 39.96209138 -90.75068024 688 6
"Illinois" "US" 41.40385234 -89.5283051 3538 81
"Illinois" "US" 39.16840183 -90.66330078 509 2
"Illinois" "US" 42.06823429 -89.93395545 1713 36
"Illinois" "US" 39.96991073 -90.24734436 1948 24
"Illinois" "US" 40.13919438 -88.20046615 19785 137
"Illinois" "US" 39.54581621 -89.27780482 3514 72
"Illinois" "US" 39.33425789 -87.78705622 1761 32
"Illinois" "US" 38.75388572 -88.48914513 1473 43
"Illinois" "US" 38.60704876 -89.42385254 5703 90
"Illinois" "US" 39.51949084 -88.22358557 5530 94
"Illinois" "US" 41.84144849 -87.81658794 522552 9835
"Illinois" "US" 39.0032229 -87.75954624 2089 25
"Illinois" "US" 39.27432424 -88.2401158 1281 19
"Illinois" "US" 40.17514519 -88.90959682 1390 23
"Illinois" "US" 41.89373302 -88.76958483 9314 118
"Illinois" "US" 39.76768052 -88.21854195 2546 35
"Illinois" "US" 41.85116968 -88.08642662 86547 1253
"Illinois" "US" 39.6809186 -87.74759563 1666 39
"Illinois" "US" 38.41353228 -88.05720863 554 12
"Illinois" "US" 39.05935711 -88.58969584 4680 71
"Illinois" "US" 39.00072038 -89.02452658 3136 54
"Illinois" "US" 40.59706922 -88.22350769 1701 46
"Illinois" "US" 37.99189086 -88.92567818 4333 70
"Illinois" "US" 40.47289135 -90.20862357 3632 50
"Illinois" "US" 37.76430935 -88.22953869 453 4
"Illinois" "US" 39.35907414 -90.388865 1424 32
"Illinois" "US" 41.28569601 -88.41905692 5612 71
"Illinois" "US" 38.08163641 -88.53883373 822 15
"Illinois" "US" 40.40423981 -91.16313899 1727 30
"Illinois" "US" 37.51810645 -88.26873022 366 12
"Illinois" "US" 40.81908672 -90.92491462 521 14
"Illinois" "US" 41.3533994 -90.13296166 4716 63
"Illinois" "US" 40.74717633 -87.82466784 2907 64
"Illinois" "US" 37.78595185 -89.38232563 4856 63
"Illinois" "US" 39.01054275 -88.15437049 1143 17
"Illinois" "US" 38.29980057 -88.9240025 4158 119
"Illinois" "US" 39.08869046 -90.35393073 2627 49
"Illinois" "US" 42.36542373 -90.21094405 1765 24
"Illinois" "US" 37.45939802 -88.88165419 1392 14
"Illinois" "US" 41.93842729 -88.42861412 55689 753
"Illinois" "US" 41.13746989 -87.86205334 13523 196
"Illinois" "US" 41.59081014 -88.42869583 12348 90
"Illinois" "US" 40.93148779 -90.2133034 5320 137
"Illinois" "US" 41.3442613 -88.88633881 11786 232
"Illinois" "US" 42.3224907 -88.00367925 64628 965
"Illinois" "US" 38.71987914 -87.72884035 2391 25
"Illinois" "US" 41.74583951 -89.29977132 3970 51
"Illinois" "US" 40.89188292 -88.55784752 4596 83
"Illinois" "US" 40.12581572 -89.36638784 3642 56
"Illinois" "US" 39.86064913 -88.96342505 10243 190
"Illinois" "US" 39.26119767 -89.92424028 4596 81
"Illinois" "US" 38.83042506 -89.90422563 29860 514
"Illinois" "US" 38.64963204 -88.91899208 4409 115
"Illinois" "US" 41.0327901 -89.34510444 991 17
"Illinois" "US" 40.23917274 -89.91824452 1419 42
"Illinois" "US" 37.22078441 -88.71036614 1311 39
"Illinois" "US" 40.45674722 -90.67775541 2598 43
"Illinois" "US" 42.32451172 -88.45248227 27059 278
"Illinois" "US" 40.48996987 -88.84621113 16948 169
"Illinois" "US" 40.02742725 -89.80246001 1187 12
"Illinois" "US" 41.20596782 -90.74290052 1354 33
"Illinois" "US" 38.27594376 -90.17761038 4312 90
"Illinois" "US" 39.23198845 -89.47809254 3642 73
"Illinois" "US" 39.71654544 -90.20255104 3764 79
"Illinois" "US" 39.64187451 -88.62099969 1571 26
"Illinois" "US" 42.04165196 -89.32184679 5763 78
"Illinois" "US" 40.78702156 -89.76078901 21319 283
"Illinois" "US" 38.08510853 -89.36856219 3129 59
"Illinois" "US" 40.01360584 -88.59319339 1417 14
"Illinois" "US" 39.62265059 -90.8877017 1768 51
"Illinois" "US" 37.41391284 -88.56152109 306 3
"Illinois" "US" 37.22631423 -89.13085001 680 7
"Illinois" "US" 41.2013541 -89.2869272 447 3
"Illinois" "US" 38.05095369 -89.82512254 4092 84
"Illinois" "US" 38.71240969 -88.08475366 1713 40
"Illinois" "US" 41.46613806 -90.57042164 14277 303
"Illinois" "US" 37.75332999 -88.54119706 2505 53
"Illinois" "US" 39.75836914 -89.65872023 17788 230
"Illinois" "US" 40.1571798 -90.61114163 700 5
"Illinois" "US" 39.6429169 -90.47814431 467 1
"Illinois" "US" 39.39133527 -88.80611122 2247 37
"Illinois" "US" 38.46996033 -89.93063427 27165 503
"Illinois" "US" 41.09309773 -89.79745866 610 23
"Illinois" "US" 42.35129217 -89.662598 4528 80
"Illinois" "US" 40.50716185 -89.51404662 15966 256
"Illinois" "US" 37.47119609 -89.25548938 2229 40
"Illinois" "US" 40.18417171 -87.73384359 9071 127
"Illinois" "US" 38.44272901 -87.84922065 1341 12
"Illinois" "US" 40.84925021 -90.6147432 1738 46
"Illinois" "US" 38.35309213 -89.40982703 1627 25
"Illinois" "US" 38.42955355 -88.42586459 1731 51
"Illinois" "US" 38.08706198 -88.17657461 1664 26
"Illinois" "US" 41.75509713 -89.91556058 6866 163
"Illinois" "US" 41.44619267 -87.97862712 71908 965
"Illinois" "US" 37.73033511 -88.92994027 7212 126
"Illinois" "US" 42.33641854 -89.16085327 31173 459
"Illinois" "US" 40.78579374 -89.20973757 4406 62
"Indiana" "US" 40.7457653 -84.93671406 3380 52
"Indiana" "US" 41.09194313 -85.06800636 39224 672
"Indiana" "US" 39.20744865 -85.89558181 7893 155
"Indiana" "US" 40.60626947 -87.31093999 971 13
"Indiana" "US" 40.47388153 -85.32499702 1338 31
"Indiana" "US" 40.0509304 -86.46841646 6556 100
"Indiana" "US" 39.19605589 -86.22868909 1001 40
"Indiana" "US" 40.5807832 -86.56198812 1859 20
"Indiana" "US" 40.76135835 -86.34830753 5685 102
"Indiana" "US" 38.48015445 -85.70510334 12697 190
"Indiana" "US" 39.39561833 -87.11723506 2535 44
"Indiana" "US" 40.30319754 -86.47277257 4197 53
"Indiana" "US" 38.28814402 -86.44518825 976 14
"Indiana" "US" 38.70186039 -87.07185406 2894 99
"Indiana" "US" 41.39804622 -84.99906934 4111 84
"Indiana" "US" 39.14647946 -84.97333539 5703 76
"Indiana" "US" 39.30712658 -85.50087166 2790 92
"Indiana" "US" 40.22787247 -85.39732772 10366 184
"Indiana" "US" 38.36597551 -86.8792417 6085 117
"Indiana" "US" 41.59761169 -85.85875695 27356 432
"Indiana" "US" 39.63684962 -85.17797541 2772 62
"Indiana" "US" 38.32117957 -85.90385377 7563 176
"Indiana" "US" 40.12361933 -87.24217689 2088 45
"Indiana" "US" 39.4142482 -85.06062647 1656 35
"Indiana" "US" 41.0469907 -86.26252745 1920 39
"Indiana" "US" 38.30393723 -87.58054938 4290 89
"Indiana" "US" 40.51587228 -85.65468702 6844 171
"Indiana" "US" 39.03630547 -86.96223202 2707 85
"Indiana" "US" 40.07306535 -86.05244729 34549 405
"Indiana" "US" 39.82304555 -85.77566351 7990 139
"Indiana" "US" 38.19467379 -86.10948271 4285 70
"Indiana" "US" 39.76719009 -86.51037283 16822 310
"Indiana" "US" 39.93029017 -85.39625719 5579 101
"Indiana" "US" 40.48527731 -86.11351892 9664 211
"Indiana" "US" 40.82907273 -85.48822092 3798 80
"Indiana" "US" 38.9091582 -86.03851889 4935 69
"Indiana" "US" 41.02078733 -87.11553319 3509 46
"Indiana" "US" 40.43781032 -85.00576229 1864 29
"Indiana" "US" 38.78576239 -85.43633383 3131 80
"Indiana" "US" 38.99588883 -85.62710784 2250 47
"Indiana" "US" 39.48994426 -86.10149107 17544 374
"Indiana" "US" 38.68861576 -87.4194665 3666 89
"Indiana" "US" 41.24521668 -85.86312322 9134 114
"Indiana" "US" 41.64232188 -85.42674232 2536 70
"Indiana" "US" 41.54366008 -86.74072188 11162 204
"Indiana" "US" 41.41874274 -87.38277575 51761 946
"Indiana" "US" 38.84112637 -86.48361629 4342 118
"Indiana" "US" 40.16143691 -85.71964711 12353 337
"Indiana" "US" 39.78163624 -86.13826325 96619 1721
"Indiana" "US" 41.32467367 -86.26185087 5786 108
"Indiana" "US" 38.7099921 -86.80373186 829 15
"Indiana" "US" 40.76940965 -86.04525048 3728 65
"Indiana" "US" 39.16130004 -86.52414358 11469 166
"Indiana" "US" 40.04034823 -86.89335024 4180 86
"Indiana" "US" 39.47899078 -86.44573375 6405 138
"Indiana" "US" 40.95610449 -87.39635768 1042 34
"Indiana" "US" 41.39672484 -85.41966713 5426 83
"Indiana" "US" 38.955305 -84.96515993 558 11
"Indiana" "US" 38.5411892 -86.49523093 1778 53
"Indiana" "US" 39.31145587 -86.83900724 1923 56
"Indiana" "US" 39.77202286 -87.20375833 1446 16
"Indiana" "US" 38.07809328 -86.63741946 1807 36
"Indiana" "US" 38.40112197 -87.23574907 1303 34
"Indiana" "US" 41.45986947 -87.06848888 17935 299
"Indiana" "US" 38.02097333 -87.86480429 2688 33
"Indiana" "US" 41.04166107 -86.69890683 1138 45
"Indiana" "US" 39.66437981 -86.84517605 3531 60
"Indiana" "US" 40.15734772 -85.01139319 2356 80
"Indiana" "US" 39.10235626 -85.26212744 3346 68
"Indiana" "US" 39.62002287 -85.4655599 1707 24
"Indiana" "US" 38.68672078 -85.74627859 2611 53
"Indiana" "US" 39.52305623 -85.7915857 4794 95
"Indiana" "US" 38.01519732 -87.0079644 2280 31
"Indiana" "US" 41.61756781 -86.29040834 34157 541
"Indiana" "US" 41.27890281 -86.64686895 2047 52
"Indiana" "US" 41.64423868 -85.00101094 3657 57
"Indiana" "US" 39.08952258 -87.41414469 2079 42
"Indiana" "US" 38.82767338 -85.03022429 769 8
"Indiana" "US" 40.38872739 -86.89413959 21853 212
"Indiana" "US" 40.31123252 -86.05234925 1610 43
"Indiana" "US" 39.62550777 -84.92497066 699 10
"Indiana" "US" 38.02658833 -87.58763124 22081 394
"Indiana" "US" 39.8523352 -87.46160542 1660 43
"Indiana" "US" 39.42944561 -87.39169027 12219 244
"Indiana" "US" 40.84704239 -85.79328272 3478 78
"Indiana" "US" 40.34728141 -87.35602659 797 15
"Indiana" "US" 38.08922676 -87.2716085 7691 155
"Indiana" "US" 38.60219804 -86.1049363 2310 31
"Indiana" "US" 39.8633444 -85.01044989 6906 198
"Indiana" "US" 40.72934187 -85.22132966 2864 81
"Indiana" "US" 40.74911165 -86.86492015 3084 54
"Indiana" "US" 41.13863784 -85.50791236 3802 39
"Iowa" "US" 41.33075609 -94.47105874 845 32
"Iowa" "US" 41.02903567 -94.69932645 331 4
"Iowa" "US" 43.28383218 -91.37860922 1491 51
"Iowa" "US" 40.74324454 -92.86865906 1266 47
"Iowa" "US" 41.6844628 -94.90581859 493 9
"Iowa" "US" 42.08011739 -92.06463573 2503 55
"Iowa" "US" 42.4704581 -92.30524729 15566 306
"Iowa" "US" 42.03657094 -93.9313999 2589 33
"Iowa" "US" 42.77461496 -92.31795937 2794 60
"Iowa" "US" 42.4709188 -91.83510825 1889 31
"Iowa" "US" 42.73545875 -95.15100162 4219 40
"Iowa" "US" 42.73172833 -92.79015971 1625 34
"Iowa" "US" 42.38521079 -94.64046046 1332 11
"Iowa" "US" 42.03617207 -94.86032705 2793 52
"Iowa" "US" 41.33149454 -94.92792482 1348 54
"Iowa" "US" 41.77233777 -91.13246684 1846 23
"Iowa" "US" 43.08177563 -93.2612239 5234 86
"Iowa" "US" 42.73538914 -95.62389402 1571 38
"Iowa" "US" 43.06001295 -92.31773347 1226 15
"Iowa" "US" 41.02868181 -93.78499767 983 24
"Iowa" "US" 43.08247182 -95.15096481 2113 25
"Iowa" "US" 42.84443388 -91.34133693 1671 55
"Iowa" "US" 41.89981633 -90.53275096 5383 90
"Iowa" "US" 42.03718237 -95.3819718 2624 40
"Iowa" "US" 41.68560356 -94.04127625 10909 96
"Iowa" "US" 40.74773536 -92.41005468 799 24
"Iowa" "US" 40.73742757 -93.78645949 590 9
"Iowa" "US" 42.47104597 -91.3664492 2033 39
"Iowa" "US" 40.92012606 -91.18326592 4419 65
"Iowa" "US" 43.37787725 -95.1510206 2425 43
"Iowa" "US" 42.46815349 -90.88181925 13169 203
"Iowa" "US" 43.37782951 -94.67858943 1288 40
"Iowa" "US" 42.86271799 -91.8441231 1830 41
"Iowa" "US" 43.0600053 -92.78940097 1554 42
"Iowa" "US" 42.73270384 -93.26256925 1129 21
"Iowa" "US" 40.7454272 -95.60129045 614 9
"Iowa" "US" 42.03614551 -94.39658081 767 10
"Iowa" "US" 42.40183723 -92.78829551 1354 32
"Iowa" "US" 41.68378965 -94.50111014 1180 29
"Iowa" "US" 42.38382428 -93.70197703 1782 49
"Iowa" "US" 43.08178477 -93.73454884 1437 34
"Iowa" "US" 42.38353877 -93.23654611 1801 42
"Iowa" "US" 41.68330137 -95.81558439 1766 73
"Iowa" "US" 40.98767962 -91.54436349 2864 37
"Iowa" "US" 43.35671042 -92.31702714 1028 22
"Iowa" "US" 42.7764426 -94.20722537 1183 26
"Iowa" "US" 42.38696136 -95.51355387 896 33
"Iowa" "US" 41.68630265 -92.0643373 1457 24
