"Province_State" "Country_Region" "Lat" "Long" "Confirmed" "Deaths"
"Gansu" "China" 35.7518 104.2861 193 2
"Guangdong" "China" 23.3417 113.4244 2319 8
"Guangxi" "China" 23.8298 108.7881 270 2
"Guizhou" "China" 26.8154 106.8748 147 2
"Hainan" "China" 19.1959 109.7453 175 6
"Hebei" "China" 37.8957 114.9042 1317 7
"Heilongjiang" "China" 47.862 127.7615 1610 13
"Henan" "China" 33.882 113.614 1312 22
"Hong Kong" "China" 22.3 114.2 11695 209
"Hubei" "China" 30.9756 112.2707 68156 4512
"Hunan" "China" 27.6104 111.7088 1044 4
"Inner Mongolia" "China" 44.0935 113.9448 379 1
"Jiangsu" "China" 32.9711 119.455 716 0
"Jiangxi" "China" 27.614 115.7221 937 1
"Jilin" "China" 43.6661 126.1923 573 3
"Liaoning" "China" 41.2956 122.6085 408 2
"Macau" "China" 22.1667 113.55 49 0
"Ningxia" "China" 37.2692 106.1655 75 0
"Qinghai" "China" 35.7452 95.9956 18 0
"Shaanxi" "China" 35.1917 108.8701 587 3
"Shandong" "China" 36.3427 118.1498 876 7
"Shanghai" "China" 31.202 121.4491 1946 7
"Shanxi" "China" 37.5777 112.2922 249 0
"Sichuan" "China" 30.6171 102.7103 964 3
"Tianjin" "China" 39.3054 117.323 380 3
"Tibet" "China" 31.6927 88.0924 1 0
"Xinjiang" "China" 41.1129 85.2401 980 3
"Yunnan" "China" 24.974 101.487 331 2
"Zhejiang" "China" 29.1832 120.0934 1329 1
"Amazonas" "Colombia" -1.4429 -71.5724 6079 232
"Antioquia" "Colombia" 7.1986 -75.3412 436264 8458
"Arauca" "Colombia" 7.0762 -70.7105 6114 181
"Atlantico" "Colombia" 10.6966 -74.8741 207253 5831
"Bolivar" "Colombia" 8.6704 -74.03 75058 1472
"Boyaca" "Colombia" 5.4545 -73.362 50642 1194
"Caldas" "Colombia" 5.2983 -75.2479 56225 1104
"Capital District" "Colombia" 4.711 -74.0721 739154 14986
"Caqueta" "Colombia" 0.8699 -73.8419 17328 653
"Casanare" "Colombia" 5.7589 -71.5724 13935 317
"Cauca" "Colombia" 2.705 -76.826 29348 794
"Cesar" "Colombia" 9.3373 -73.6536 48165 1336
"Choco" "Colombia" 5.2528 -76.826 7325 213
"Cordoba" "Colombia" 8.0493 -75.574 48259 2143
"Cundinamarca" "Colombia" 5.026 -74.03 118468 3180
"Guainia" "Colombia" 2.5854 -68.5247 1387 22
"Guaviare" "Colombia" 1.0654 -73.2603 2312 40
"Huila" "Colombia" 2.5359 -75.5277 52375 1825
"La Guajira" "Colombia" 11.3548 -72.5205 23932 793
"Magdalena" "Colombia" 10.4113 -74.4057 53397 1983
"Meta" "Colombia" 3.272 -73.0877 45170 1030
"Narino" "Colombia" 1.2892 -77.3579 51964 1731
"Norte de Santander" "Colombia" 7.9463 -72.8988 53601 2807
"Putumayo" "Colombia" 0.436 -75.5277 8711 332
"Quindio" "Colombia" 4.461 -75.6674 37465 1117
"Risaralda" "Colombia" 5.3158 -75.9928 53706 1294
"San Andres y Providencia" "Colombia" 12.5567 -81.7185 3109 49
"Santander" "Colombia" 6.6437 -73.6536 98671 3569
"Sucre" "Colombia" 8.814 -74.7233 25509 925
"Tolima" "Colombia" 4.0925 -75.1545 68020 2185
"Valle del Cauca" "Colombia" 3.8009 -76.6413 225468 6916
"Vaupes" "Colombia" 0.8554 -70.812 1196 13
"Vichada" "Colombia" 4.4234 -69.2878 1526 23
"Comoros" "Comoros" -11.6455 43.3333 3819 146
"Costa Rica" "Costa Rica" 9.7489 -83.7534 230837 3099
"Croatia" "Croatia" 45.1 15.2 308200 6601
"Cuba" "Cuba" 21.521757 -77.781167 94571 531
"Cyprus" "Cyprus" 35.1264 33.4299 57081 294
"Czechia" "Czechia" 49.8175 15.473 1602711 28532
"Faroe Islands" "Denmark" 61.8926 -6.9118 662 1
"Greenland" "Denmark" 71.7069 -42.6043 31 0
"Denmark" "Denmark" 56.2639 9.5018 243374 2459
"Djibouti" "Djibouti" 11.8251 42.5903 10510 119
"Dominican Republic" "Dominican Republic" 18.7357 -70.1627 261531 3422
"Ecuador" "Ecuador" -1.8312 -78.1834 360563 17703
"Egypt" "Egypt" 26.820553 30.802498 217186 12778
"El Salvador" "El Salvador" 13.7942 -88.8965 67557 2078
"Equatorial Guinea" "Equatorial Guinea" 1.6508 10.2679 7259 106
"Eritrea" "Eritrea" 15.1794 39.7823 3537 10
"Estonia" "Estonia" 58.5953 25.0136 117782 1100
"Ethiopia" "Ethiopia" 9.145 40.4897 243631 3392
"Fiji" "Fiji" -17.7134 178.065 72 2
