"Province_State" "Country_Region" "Confirmed" "Deaths"
"Egypt" "Egypt" 217186 12778
"El Salvador" "El Salvador" 67557 2078
"Equatorial Guinea" "Equatorial Guinea" 7259 106
"Eritrea" "Eritrea" 3537 10
"Estonia" "Estonia" 117782 1100
"Eswatini" "Eswatini" 18417 671
"Ethiopia" "Ethiopia" 243631 3392
"Fiji" "Fiji" 72 2
"Finland" "Finland" 84287 891
"French Guiana" "France" 18081 95
"French Polynesia" "France" 18708 141
"Guadeloupe" "France" 12927 194
"Martinique" "France" 9758 66
"Mayotte" "France" 19789 168
"New Caledonia" "France" 124 0
"Reunion" "France" 18425 135
"Saint Barthelemy" "France" 934 1
"Saint Pierre and Miquelon" "France" 25 0
"St Martin" "France" 1702 12
"Wallis and Futuna" "France" 438 5
"France" "France" 5256318 100522
"Gabon" "Gabon" 22032 136
"Gambia" "Gambia" 5720 170
"Georgia" "Georgia" 295936 3949
"Baden-Wurttemberg" "Germany" 408870 9085
"Bayern" "Germany" 557716 13772
"Berlin" "Germany" 159779 3154
"Brandenburg" "Germany" 97112 3469
"Bremen" "Germany" 23598 437
"Hamburg" "Germany" 68521 1434
"Hessen" "Germany" 244779 6648
"Mecklenburg-Vorpommern" "Germany" 36451 934
"Niedersachsen" "Germany" 222444 5139
"Nordrhein-Westfalen" "Germany" 684238 14974
"Rheinland-Pfalz" "Germany" 130754 3469
"Saarland" "Germany" 34914 958
"Sachsen" "Germany" 246541 8756
"Sachsen-Anhalt" "Germany" 84060 2981
"Schleswig-Holstein" "Germany" 55478 1480
"Thuringen" "Germany" 108414 3663
"Ghana" "Ghana" 91709 771
"Greece" "Greece" 316879 9540
"Grenada" "Grenada" 157 1
"Guatemala" "Guatemala" 213049 7241
"Guinea" "Guinea" 21612 138
"Guinea-Bissau" "Guinea-Bissau" 3712 66
"Guyana" "Guyana" 11901 271
"Haiti" "Haiti" 12918 251
"Holy See" "Holy See" 27 0
"Honduras" "Honduras" 201677 4963
"Hungary" "Hungary" 753188 25381
"Iceland" "Iceland" 6329 29
"Andaman and Nicobar Islands" "India" 5421 64
"Andhra Pradesh" "India" 968000 7437
"Arunachal Pradesh" "India" 17052 56
"Assam" "India" 225822 1142
"Bihar" "India" 331604 1790
"Chandigarh" "India" 34546 417
"Chhattisgarh" "India" 558674 6083
"Dadra and Nagar Haveli and Daman and Diu" "India" 5102 4
"Delhi" "India" 877146 12361
"Goa" "India" 68152 900
"Gujarat" "India" 415972 5494
"Haryana" "India" 363813 3448
"Himachal Pradesh" "India" 78070 1203
"Jammu and Kashmir" "India" 148208 2063
"Jharkhand" "India" 167235 1502
"Karnataka" "India" 1176850 13497
"Kerala" "India" 1253068 4950
"Ladakh" "India" 12306 133
"Lakshadweep" "India" 1165 1
"Madhya Pradesh" "India" 420977 4636
"Maharashtra" "India" 3898262 60824
"Manipur" "India" 29775 377
"Meghalaya" "India" 14979 154
"Mizoram" "India" 4995 12
"Nagaland" "India" 12568 94
"Odisha" "India" 372703 1948
"Puducherry" "India" 48336 713
"Punjab" "India" 304660 7985
"Rajasthan" "India" 426584 3204
"Sikkim" "India" 6705 136
"Tamil Nadu" "India" 1002392 13157
"Telangana" "India" 361359 1856
"Tripura" "India" 34094 394
"Uttar Pradesh" "India" 879831 9997
"Uttarakhand" "India" 126193 1892
"West Bengal" "India" 668353 10606
"Indonesia" "Indonesia" 1609300 43567
"Iran" "Iran" 2261435 67130
"Iraq" "Iraq" 984950 15026
"Ireland" "Ireland" 243911 4836
"Israel" "Israel" 837218 6341
"Abruzzo" "Italy" 69480 2337
"Basilicata" "Italy" 22254 497
"Calabria" "Italy" 55145 950
"Campania" "Italy" 371749 5987
"Emilia-Romagna" "Italy" 359206 12640
"Friuli Venezia Giulia" "Italy" 103175 3611
"Lazio" "Italy" 311428 7328
"Liguria" "Italy" 96391 4079
"Lombardia" "Italy" 782559 32319
"Marche" "Italy" 94637 2859
"Molise" "Italy" 12885 465
"P.A. Bolzano" "Italy" 70399 1156
"P.A. Trento" "Italy" 43063 1324
"Piemonte" "Italy" 334475 10960
"Puglia" "Italy" 220815 5484
"Sardegna" "Italy" 51742 1318
"Sicilia" "Italy" 196642 5172
"Toscana" "Italy" 217349 5883
"Umbria" "Italy" 53220 1324
"Valle d'Aosta" "Italy" 10433 439
"Veneto" "Italy" 401947 11111
"Jamaica" "Jamaica" 44136 727
"Aichi" "Japan" 30352 604
"Akita" "Japan" 377 9
"Aomori" "Japan" 1320 20
"Chiba" "Japan" 31549 599
"Ehime" "Japan" 1972 28
"Fukui" "Japan" 741 31
"Fukuoka" "Japan" 20255 348
"Fukushima" "Japan" 2985 115
"Gifu" "Japan" 5261 124
"Gunma" "Japan" 5495 102
"Hiroshima" "Japan" 5435 105
"Hokkaido" "Japan" 22452 805
"Hyogo" "Japan" 26110 624
"Ibaraki" "Japan" 7440 130
"Ishikawa" "Japan" 2195 68
"Iwate" "Japan" 781 31
"Kagawa" "Japan" 1065 20
"Kagoshima" "Japan" 1964 30
"Kanagawa" "Japan" 51079 798
"Kochi" "Japan" 965 19
"Kumamoto" "Japan" 3670 78
"Kyoto" "Japan" 10925 177
"Mie" "Japan" 3188 75
"Miyagi" "Japan" 7648 50
"Miyazaki" "Japan" 2049 21
"Nagano" "Japan" 3524 52
"Nagasaki" "Japan" 1779 40
"Nara" "Japan" 5084 62
"Niigata" "Japan" 1953 17
"Oita" "Japan" 1379 22
"Okayama" "Japan" 3244 35
"Okinawa" "Japan" 11568 131
"Osaka" "Japan" 68663 1265
"Port Quarantine" "Japan" 2581 3
"Saga" "Japan" 1365 14
"Saitama" "Japan" 35499 728
"Shiga" "Japan" 3236 61
"Shimane" "Japan" 303 0
"Shizuoka" "Japan" 6172 120
"Tochigi" "Japan" 5088 71
"Tokushima" "Japan" 939 26
"Tokyo" "Japan" 130556 1831
"Tottori" "Japan" 344 2
"Toyama" "Japan" 1159 29
"Wakayama" "Japan" 1778 19
"Yamagata" "Japan" 1356 28
"Yamaguchi" "Japan" 1570 43
"Yamanashi" "Japan" 1073 19
"Jordan" "Jordan" 689482 8308
"Kazakhstan" "Kazakhstan" 344140 3294
"Kenya" "Kenya" 151894 2501
"Korea, South" "Korea, South" 115195 1802
"Kosovo" "Kosovo" 101191 2080
"Kuwait" "Kuwait" 258497 1456
"Kyrgyzstan" "Kyrgyzstan" 92095 1555
"Laos" "Laos" 58 0
"Latvia" "Latvia" 111536 2056
"Lebanon" "Lebanon" 511398 6959
"Lesotho" "Lesotho" 10720 316
"Liberia" "Liberia" 2042 85
"Libya" "Libya" 172464 2908
"Liechtenstein" "Liechtenstein" 2823 56
"Lithuania" "Lithuania" 234232 3770
"Luxembourg" "Luxembourg" 65144 786
"MS Zaandam" "MS Zaandam" 9 2
"Madagascar" "Madagascar" 32798 552
"Malawi" "Malawi" 33959 1139
"Malaysia" "Malaysia" 377132 1386
"Maldives" "Maldives" 26505 70
"Mali" "Mali" 13145 441
"Malta" "Malta" 30026 409
"Marshall Islands" "Marshall Islands" 4 0
"Mauritania" "Mauritania" 18142 454
"Mauritius" "Mauritius" 1203 15
"Aguascalientes" "Mexico" 25669 2317
"Baja California" "Mexico" 47216 8012
"Baja California Sur" "Mexico" 29601 1308
"Campeche" "Mexico" 9199 1161
"Chiapas" "Mexico" 10732 1529
"Chihuahua" "Mexico" 49983 6492
"Ciudad de Mexico" "Mexico" 629527 32003
"Coahuila" "Mexico" 67568 6153
"Colima" "Mexico" 11080 1165
"Durango" "Mexico" 33062 2337
"Guanajuato" "Mexico" 129744 10375
"Guerrero" "Mexico" 38921 4239
"Hidalgo" "Mexico" 37706 6021
"Jalisco" "Mexico" 84344 11685
"Mexico" "Mexico" 240919 33373
"Michoacan" "Mexico" 46443 5298
"Morelos" "Mexico" 31396 3007
"Nayarit" "Mexico" 11601 1769
"Nuevo Leon" "Mexico" 121501 9171
"Oaxaca" "Mexico" 45207 3384
"Puebla" "Mexico" 81763 11052
"Queretaro" "Mexico" 67385 4042
"Quintana Roo" "Mexico" 22244 2561
"San Luis Potosi" "Mexico" 61609 5107
"Sinaloa" "Mexico" 37251 5932
"Sonora" "Mexico" 72275 6441
"Tabasco" "Mexico" 63124 4000
"Tamaulipas" "Mexico" 55775 4748
"Tlaxcala" "Mexico" 19144 2358
"Veracruz" "Mexico" 59003 9176
"Yucatan" "Mexico" 36336 3533
"Zacatecas" "Mexico" 29582 2717
"Micronesia" "Micronesia" 1 0
"Moldova" "Moldova" 246238 5591
"Monaco" "Monaco" 2404 31
"Mongolia" "Mongolia" 24195 51
"Montenegro" "Montenegro" 95695 1438
"Morocco" "Morocco" 505949 8952
"Mozambique" "Mozambique" 69228 800
"Namibia" "Namibia" 46773 604
"Nepal" "Nepal" 285900 3091
"Aruba" "Netherlands" 10345 92
"Bonaire, Sint Eustatius and Saba" "Netherlands" 196 3
"Curacao" "Netherlands" 11903 90
"Drenthe" "Netherlands" 29318 339
"Flevoland" "Netherlands" 31870 231
"Friesland" "Netherlands" 36862 459
"Gelderland" "Netherlands" 156568 1938
"Groningen" "Netherlands" 33455 244
"Limburg" "Netherlands" 93758 1551
"Noord-Brabant" "Netherlands" 223988 3050
"Noord-Holland" "Netherlands" 240888 2480
"Overijssel" "Netherlands" 92330 1096
"Sint Maarten" "Netherlands" 2207 27
"Utrecht" "Netherlands" 109124 1222
"Zeeland" "Netherlands" 23851 230
"Zuid-Holland" "Netherlands" 335710 4085
"New Zealand" "New Zealand" 2597 26
"Nicaragua" "Nicaragua" 6778 180
"Niger" "Niger" 5131 190
"Nigeria" "Nigeria" 164303 2061
"North Macedonia" "North Macedonia" 147229 4478
"Norway" "Norway" 108028 709
"Oman" "Oman" 181430 1890
"Azad Jammu and Kashmir" "Pakistan" 15741 442
"Balochistan" "Pakistan" 21000 225
"Gilgit-Baltistan" "Pakistan" 5191 104
"Islamabad" "Pakistan" 70609 645
"Khyber Pakhtunkhwa" "Pakistan" 107309 2920
"Punjab" "Pakistan" 273566 7561
"Sindh" "Pakistan" 273466 4556
"Panama" "Panama" 361044 6189
"Papua New Guinea" "Papua New Guinea" 9952 91
"Paraguay" "Paraguay" 252443 5384
"Amazonas" "Peru" 24786 404
"Ancash" "Peru" 58435 2411
"Apurimac" "Peru" 16997 393
"Arequipa" "Peru" 69466 2272
"Ayacucho" "Peru" 25140 680
"Cajamarca" "Peru" 47142 1065
"Callao" "Peru" 88404 3010
"Cusco" "Peru" 50086 1020
"Huancavelica" "Peru" 12195 334
"Huanuco" "Peru" 28821 880
"Ica" "Peru" 46948 2590
"Junin" "Peru" 56892 1944
"La Libertad" "Peru" 60880 3522
"Lambayeque" "Peru" 46601 2408
"Lima" "Peru" 789926 25212
"Loreto" "Peru" 37767 1370
"Madre de Dios" "Peru" 12461 217
"Moquegua" "Peru" 22687 509
"Pasco" "Peru" 12153 335
"Piura" "Peru" 65354 2761
"Puno" "Peru" 27555 739
"San Martin" "Peru" 37911 1077
"Tacna" "Peru" 22731 711
"Tumbes" "Peru" 14498 530
"Ucayali" "Peru" 28921 836
"Philippines" "Philippines" 945745 16048
"Poland" "Poland" 2695327 62133
"Portugal" "Portugal" 831221 16946
"Qatar" "Qatar" 197476 386
"Romania" "Romania" 1031072 26381
"Adygea Republic" "Russia" 14309 170
"Altai Krai" "Russia" 48789 1999
"Altai Republic" "Russia" 16768 219
"Amur Oblast" "Russia" 22170 272
"Arkhangelsk Oblast" "Russia" 61186 910
"Astrakhan Oblast" "Russia" 32087 710
"Bashkortostan Republic" "Russia" 34298 421
"Belgorod Oblast" "Russia" 35886 607
"Bryansk Oblast" "Russia" 37300 298
"Buryatia Republic" "Russia" 36827 822
"Chechen Republic" "Russia" 11875 118
"Chelyabinsk Oblast" "Russia" 57678 1357
"Chukotka Autonomous Okrug" "Russia" 743 7
"Chuvashia Republic" "Russia" 23630 1318
"Dagestan Republic" "Russia" 31859 1431
"Ingushetia Republic" "Russia" 15306 185
"Irkutsk Oblast" "Russia" 64647 2160
"Ivanovo Oblast" "Russia" 33743 1117
"Jewish Autonomous Okrug" "Russia" 4463 125
"Kabardino-Balkarian Republic" "Russia" 23472 435
"Kaliningrad Oblast" "Russia" 31156 375
"Kalmykia Republic" "Russia" 20289 331
"Kaluga Oblast" "Russia" 33462 302
"Kamchatka Krai" "Russia" 14352 213
"Karachay-Cherkess Republic" "Russia" 19924 73
"Karelia Republic" "Russia" 45153 439
"Kemerovo Oblast" "Russia" 34357 647
"Khabarovsk Krai" "Russia" 51406 368
"Khakassia Republic" "Russia" 22138 519
"Khanty-Mansi Autonomous Okrug" "Russia" 55370 788
"Kirov Oblast" "Russia" 41294 338
"Komi Republic" "Russia" 42803 868
"Kostroma Oblast" "Russia" 20340 420
"Krasnodar Krai" "Russia" 44373 2544
"Krasnoyarsk Krai" "Russia" 69071 3382
"Kurgan Oblast" "Russia" 19963 368
"Kursk Oblast" "Russia" 35630 657
"Leningrad Oblast" "Russia" 41630 1081
"Lipetsk Oblast" "Russia" 29106 611
"Magadan Oblast" "Russia" 8297 99
"Mari El Republic" "Russia" 12887 223
"Mordovia Republic" "Russia" 19727 230
"Moscow" "Russia" 1066052 17698
"Moscow Oblast" "Russia" 243231 5671
"Murmansk Oblast" "Russia" 50072 1137
"Nenets Autonomous Okrug" "Russia" 1093 4
"Nizhny Novgorod Oblast" "Russia" 111949 3040
"North Ossetia - Alania Republic" "Russia" 16614 193
"Novgorod Oblast" "Russia" 29486 121
"Novosibirsk Oblast" "Russia" 40261 1711
"Omsk Oblast" "Russia" 45049 1357
"Orel Oblast" "Russia" 33541 536
"Orenburg Oblast" "Russia" 41566 803
"Penza Oblast" "Russia" 43912 593
"Perm Krai" "Russia" 53324 2085
"Primorsky Krai" "Russia" 43208 704
"Pskov Oblast" "Russia" 35540 307
"Rostov Oblast" "Russia" 85395 3915
"Ryazan Oblast" "Russia" 27270 421
"Saint Petersburg" "Russia" 408012 12837
"Sakha (Yakutiya) Republic" "Russia" 34257 587
"Sakhalin Oblast" "Russia" 22333 40
"Samara Oblast" "Russia" 59484 1355
"Saratov Oblast" "Russia" 57535 897
"Smolensk Oblast" "Russia" 28889 825
"Stavropol Krai" "Russia" 52075 1306
"Sverdlovsk Oblast" "Russia" 84934 2946
"Tambov Oblast" "Russia" 30920 449
"Tatarstan Republic" "Russia" 20068 446
"Tomsk Oblast" "Russia" 31847 382
"Tula Oblast" "Russia" 37836 1737
"Tver Oblast" "Russia" 39117 824
"Tyumen Oblast" "Russia" 34591 441
"Tyva Republic" "Russia" 15790 200
"Udmurt Republic" "Russia" 32065 786
"Ulyanovsk Oblast" "Russia" 52493 1099
"Vladimir Oblast" "Russia" 31265 1059
"Volgograd Oblast" "Russia" 55715 1045
"Vologda Oblast" "Russia" 44192 961
"Voronezh Oblast" "Russia" 78747 2563
"Yamalo-Nenets Autonomous Okrug" "Russia" 38356 412
"Yaroslavl Oblast" "Russia" 37727 510
"Zabaykalsky Krai" "Russia" 41934 613
"Rwanda" "Rwanda" 23934 326
"Saint Kitts and Nevis" "Saint Kitts and Nevis" 44 0
"Saint Lucia" "Saint Lucia" 4419 69
"Saint Vincent and the Grenadines" "Saint Vincent and the Grenadines" 1819 10
"Samoa" "Samoa" 3 0
"San Marino" "San Marino" 5030 88
"Sao Tome and Principe" "Sao Tome and Principe" 2275 35
"Saudi Arabia" "Saudi Arabia" 405940 6834
"Senegal" "Senegal" 39821 1091
"Serbia" "Serbia" 664972 6026
"Seychelles" "Seychelles" 4976 25
"Sierra Leone" "Sierra Leone" 4038 79
"Singapore" "Singapore" 60851 30
"Slovakia" "Slovakia" 376067 11172
"Slovenia" "Slovenia" 232311 4167
"Solomon Islands" "Solomon Islands" 20 0
"Somalia" "Somalia" 13324 678
"South Africa" "South Africa" 1567513 53757
"South Sudan" "South Sudan" 10473 114
"Andalusia" "Spain" 534597 9432
"Aragon" "Spain" 115206 3407
"Asturias" "Spain" 49533 1933
"Baleares" "Spain" 58664 780
"C. Valenciana" "Spain" 388652 7216
"Canarias" "Spain" 50881 714
"Cantabria" "Spain" 27579 553
"Castilla - La Mancha" "Spain" 181337 5815
"Castilla y Leon" "Spain" 219244 6713
"Catalonia" "Spain" 563680 13845
"Ceuta" "Spain" 5639 101
"Extremadura" "Spain" 73046 1780
"Galicia" "Spain" 119735 2361
"La Rioja" "Spain" 28875 756
"Madrid" "Spain" 659066 14811
"Melilla" "Spain" 8430 86
"Murcia" "Spain" 109908 1584
"Navarra" "Spain" 58034 1138
"Pais Vasco" "Spain" 176248 4077
"Sri Lanka" "Sri Lanka" 97105 620
"Sudan" "Sudan" 33022 2281
"Suriname" "Suriname" 9581 187
"Blekinge" "Sweden" 10095 123
"Dalarna" "Sweden" 21657 319
"Gavleborg" "Sweden" 31127 537
"Gotland" "Sweden" 3358 48
"Halland" "Sweden" 35796 301
"Jamtland Harjedalen" "Sweden" 9873 118
"Jonkoping" "Sweden" 36848 542
"Kalmar" "Sweden" 18209 223
"Kronoberg" "Sweden" 16875 299
"Norrbotten" "Sweden" 18992 248
"Orebro" "Sweden" 25670 316
"Ostergotland" "Sweden" 31885 593
"Skane" "Sweden" 133098 1663
"Sormland" "Sweden" 20681 436
"Stockholm" "Sweden" 214510 4105
"Uppsala" "Sweden" 33436 506
"Varmland" "Sweden" 14852 191
"Vasterbotten" "Sweden" 19575 177
"Vasternorrland" "Sweden" 20861 437
"Vastmanland" "Sweden" 22996 339
"Vastra Gotaland" "Sweden" 159744 2267
"Switzerland" "Switzerland" 637304 10521
"Syria" "Syria" 21279 1456
"Taiwan*" "Taiwan*" 1076 11
"Tajikistan" "Tajikistan" 13308 90
"Tanzania" "Tanzania" 509 21
"Thailand" "Thailand" 43742 104
"Timor-Leste" "Timor-Leste" 1368 2
"Togo" "Togo" 12553 120
"Trinidad and Tobago" "Trinidad and Tobago" 8964 154
"Tunisia" "Tunisia" 287061 9825
"Turkey" "Turkey" 4323596 36267
"Alabama" "US" 6763 106
"Alabama" "US" 20730 302
"Alabama" "US" 2271 55
"Alabama" "US" 2567 61
"Alabama" "US" 6532 133
"Alabama" "US" 1220 40
"Alabama" "US" 2132 68
"Alabama" "US" 14358 311
"Alabama" "US" 3519 122
"Alabama" "US" 1827 44
"Alabama" "US" 4130 110
"Alabama" "US" 588 24
"Alabama" "US" 3473 60
"Alabama" "US" 1502 55
"Alabama" "US" 1470 41
"Alabama" "US" 5436 113
"Alabama" "US" 6236 132
"Alabama" "US" 1097 28
"Alabama" "US" 994 28
"Alabama" "US" 4069 115
"Alabama" "US" 1495 57
"Alabama" "US" 9509 191
"Alabama" "US" 4781 111
"Alabama" "US" 3528 150
"Alabama" "US" 8762 183
"Alabama" "US" 10024 203
"Alabama" "US" 3903 74
"Alabama" "US" 13705 348
"Alabama" "US" 2096 60
"Alabama" "US" 4213 82
"Alabama" "US" 2464 75
"Alabama" "US" 914 34
"Alabama" "US" 2186 75
"Alabama" "US" 1884 44
"Alabama" "US" 10416 279
"Alabama" "US" 6762 110
"Alabama" "US" 75537 1494
"Alabama" "US" 1400 34
"Alabama" "US" 9280 233
"Alabama" "US" 2963 95
"Alabama" "US" 15638 166
"Alabama" "US" 9862 148
"Alabama" "US" 1373 53
"Alabama" "US" 1565 48
"Alabama" "US" 34124 500
"Alabama" "US" 2485 61
"Alabama" "US" 3076 100
"Alabama" "US" 12012 220
"Alabama" "US" 39129 799
"Alabama" "US" 1731 40
"Alabama" "US" 24059 573
"Alabama" "US" 14171 273
"Alabama" "US" 0 0
"Alabama" "US" 1077 26
"Alabama" "US" 2332 59
"Alabama" "US" 3066 76
"Alabama" "US" 1778 41
"Alabama" "US" 4312 39
"Alabama" "US" 23225 242
"Alabama" "US" 9486 236
"Alabama" "US" 1033 32
"Alabama" "US" 8127 173
"Alabama" "US" 3922 148
"Alabama" "US" 25408 444
"Alabama" "US" 0 0
"Alabama" "US" 7151 276
"Alabama" "US" 1655 38
"Alabama" "US" 1247 27
"Alabama" "US" 2732 72
"Alaska" "US" 365 2
"Alaska" "US" 683 0
"Alaska" "US" 29718 174
"Alaska" "US" 3855 20
"Alaska" "US" 0 0
"Alaska" "US" 193 0
"Alaska" "US" 393 3
"Alaska" "US" 237 0
"Alaska" "US" 97 0
"Alaska" "US" 226 2
"Alaska" "US" 7011 36
"Alaska" "US" 29 0
"Alaska" "US" 1358 5
"Alaska" "US" 4369 22
"Alaska" "US" 414 2
"Alaska" "US" 1100 5
"Alaska" "US" 1247 4
