"Province_State" "Country_Region" "Confirmed" "Deaths"
"Afghanistan" "Afghanistan" 57898 2546
"Albania" "Albania" 129694 2347
"Algeria" "Algeria" 119805 3160
"Andorra" "Andorra" 12805 123
"Angola" "Angola" 24518 563
"Antigua and Barbuda" "Antigua and Barbuda" 1217 31
"Argentina" "Argentina" 2714475 59476
"Armenia" "Armenia" 208818 3895
"Australian Capital Territory" "Australia" 123 3
"New South Wales" "Australia" 5387 54
"Northern Territory" "Australia" 129 0
"Queensland" "Australia" 1518 7
"South Australia" "Australia" 688 4
"Tasmania" "Australia" 234 13
"Victoria" "Australia" 20499 820
"Western Australia" "Australia" 978 9
"Austria" "Austria" 595540 9922
"Azerbaijan" "Azerbaijan" 301661 4169
"Bahamas" "Bahamas" 9791 194
"Bahrain" "Bahrain" 165118 600
"Bangladesh" "Bangladesh" 723221 10497
"Barbados" "Barbados" 3784 44
"Belarus" "Belarus" 345110 2433
"Antwerp" "Belgium" 121141 0
"Brussels" "Belgium" 117981 0
"East Flanders" "Belgium" 109168 0
"Flemish Brabant" "Belgium" 72750 0
"Hainaut" "Belgium" 140830 0
"Liege" "Belgium" 117868 0
"Limburg" "Belgium" 50948 0
"Luxembourg" "Belgium" 27846 0
"Namur" "Belgium" 52782 0
"Walloon Brabant" "Belgium" 36555 0
"West Flanders" "Belgium" 85792 0
"Belize" "Belize" 12558 318
"Benin" "Benin" 7611 95
"Bhutan" "Bhutan" 961 1
"Bolivia" "Bolivia" 290362 12666
"Bosnia and Herzegovina" "Bosnia and Herzegovina" 191154 7938
"Botswana" "Botswana" 44702 684
"Acre" "Brazil" 75599 1433
"Alagoas" "Brazil" 167039 3991
"Amapa" "Brazil" 103374 1477
"Amazonas" "Brazil" 364028 12396
"Bahia" "Brazil" 863764 17371
"Ceara" "Brazil" 623047 16235
"Distrito Federal" "Brazil" 367969 7284
"Espirito Santo" "Brazil" 418457 8764
"Goias" "Brazil" 526028 13691
"Maranhao" "Brazil" 257369 6907
"Mato Grosso" "Brazil" 342720 9012
"Mato Grosso do Sul" "Brazil" 237714 5224
"Minas Gerais" "Brazil" 1281421 30397
"Para" "Brazil" 451192 11900
"Paraiba" "Brazil" 280967 6478
"Parana" "Brazil" 909691 20424
"Pernambuco" "Brazil" 383184 13248
"Piaui" "Brazil" 227910 4780
"Rio Grande do Norte" "Brazil" 213447 5126
"Rio Grande do Sul" "Brazil" 922550 23271
"Rio de Janeiro" "Brazil" 704265 41418
"Rondonia" "Brazil" 205207 4854
"Roraima" "Brazil" 93790 1445
"Santa Catarina" "Brazil" 857875 12664
"Sao Paulo" "Brazil" 2750300 88528
"Sergipe" "Brazil" 191537 3982
"Tocantins" "Brazil" 153251 2382
"Brunei" "Brunei" 221 3
"Bulgaria" "Bulgaria" 388815 15412
"Burkina Faso" "Burkina Faso" 13148 154
"Burma" "Burma" 142644 3206
"Burundi" "Burundi" 3477 6
"Cabo Verde" "Cabo Verde" 20627 193
"Cambodia" "Cambodia" 7013 45
"Cameroon" "Cameroon" 64809 939
"Alberta" "Canada" 172186 2043
"British Columbia" "Canada" 120040 1538
"Diamond Princess" "Canada" 0 1
"Grand Princess" "Canada" 13 0
"Manitoba" "Canada" 36267 959
"New Brunswick" "Canada" 1797 33
"Newfoundland and Labrador" "Canada" 1046 6
"Northwest Territories" "Canada" 49 0
"Nova Scotia" "Canada" 1822 67
"Nunavut" "Canada" 423 4
"Ontario" "Canada" 429240 7716
"Prince Edward Island" "Canada" 173 0
"Quebec" "Canada" 338044 10816
"Repatriated Travellers" "Canada" 13 0
"Saskatchewan" "Canada" 38401 465
"Yukon" "Canada" 77 1
"Central African Republic" "Central African Republic" 5787 75
"Chad" "Chad" 4708 169
"Antofagasta" "Chile" 46957 929
"Araucania" "Chile" 65244 804
"Arica y Parinacota" "Chile" 19100 380
"Atacama" "Chile" 16620 192
"Aysen" "Chile" 3966 30
"Biobio" "Chile" 109463 1790
"Coquimbo" "Chile" 30260 586
"Los Lagos" "Chile" 66313 878
"Los Rios" "Chile" 31883 354
"Magallanes" "Chile" 24232 365
"Maule" "Chile" 65017 1124
"Metropolitana" "Chile" 471634 13666
"Nuble" "Chile" 24513 442
"OHiggins" "Chile" 44915 993
"Tarapaca" "Chile" 32046 584
"Valparaiso" "Chile" 79129 2159
"Anhui" "China" 994 6
"Beijing" "China" 1057 9
"Chongqing" "China" 591 6
"Fujian" "China" 586 1
"Gansu" "China" 193 2
"Guangdong" "China" 2319 8
"Guangxi" "China" 270 2
"Guizhou" "China" 147 2
"Hainan" "China" 175 6
"Hebei" "China" 1317 7
"Heilongjiang" "China" 1610 13
"Henan" "China" 1312 22
"Hong Kong" "China" 11695 209
"Hubei" "China" 68156 4512
"Hunan" "China" 1044 4
"Inner Mongolia" "China" 379 1
"Jiangsu" "China" 716 0
"Jiangxi" "China" 937 1
"Jilin" "China" 573 3
"Liaoning" "China" 408 2
"Macau" "China" 49 0
"Ningxia" "China" 75 0
"Qinghai" "China" 18 0
"Shaanxi" "China" 587 3
"Shandong" "China" 876 7
"Shanghai" "China" 1946 7
"Shanxi" "China" 249 0
"Sichuan" "China" 964 3
"Tianjin" "China" 380 3
"Tibet" "China" 1 0
"Xinjiang" "China" 980 3
"Yunnan" "China" 331 2
"Zhejiang" "China" 1329 1
"Amazonas" "Colombia" 6079 232
"Antioquia" "Colombia" 436264 8458
"Arauca" "Colombia" 6114 181
"Atlantico" "Colombia" 207253 5831
"Bolivar" "Colombia" 75058 1472
"Boyaca" "Colombia" 50642 1194
"Caldas" "Colombia" 56225 1104
"Capital District" "Colombia" 739154 14986
"Caqueta" "Colombia" 17328 653
"Casanare" "Colombia" 13935 317
"Cauca" "Colombia" 29348 794
"Cesar" "Colombia" 48165 1336
"Choco" "Colombia" 7325 213
"Cordoba" "Colombia" 48259 2143
"Cundinamarca" "Colombia" 118468 3180
"Guainia" "Colombia" 1387 22
"Guaviare" "Colombia" 2312 40
"Huila" "Colombia" 52375 1825
"La Guajira" "Colombia" 23932 793
"Magdalena" "Colombia" 53397 1983
"Meta" "Colombia" 45170 1030
"Narino" "Colombia" 51964 1731
"Norte de Santander" "Colombia" 53601 2807
"Putumayo" "Colombia" 8711 332
"Quindio" "Colombia" 37465 1117
"Risaralda" "Colombia" 53706 1294
"San Andres y Providencia" "Colombia" 3109 49
"Santander" "Colombia" 98671 3569
"Sucre" "Colombia" 25509 925
"Tolima" "Colombia" 68020 2185
"Valle del Cauca" "Colombia" 225468 6916
"Vaupes" "Colombia" 1196 13
"Vichada" "Colombia" 1526 23
"Comoros" "Comoros" 3819 146
"Congo (Brazzaville)" "Congo (Brazzaville)" 10084 139
"Congo (Kinshasa)" "Congo (Kinshasa)" 28956 745
"Costa Rica" "Costa Rica" 230837 3099
"Cote d'Ivoire" "Cote d'Ivoire" 45570 274
"Croatia" "Croatia" 308200 6601
"Cuba" "Cuba" 94571 531
"Cyprus" "Cyprus" 57081 294
"Czechia" "Czechia" 1602711 28532
"Faroe Islands" "Denmark" 662 1
"Greenland" "Denmark" 31 0
"Denmark" "Denmark" 243374 2459
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 10510 119
"Dominica" "Dominica" 165 0
"Dominican Republic" "Dominican Republic" 261531 3422
"Ecuador" "Ecuador" 360563 17703
